"","my_timestamp","my_date","camp","my_time","time_decimal","delta_et_value_hydrogen","delta_et_se_hydrogen","slope_estimate_hydrogen","r.squared_hydrogen","F_test_p.value_hydrogen","delta_et_value_oxygen","delta_et_se_oxygen","slope_estimate_oxygen","r.squared_oxygen","F_test_p.value_oxygen","air_sample_size","air_water_mean","air_water_sd","air_hydrogen_mean","air_hydrogen_sd","air_oxygen_mean","air_oxygen_sd","my_timestamp_hourly","Rn","Tair","RH","specific_humidity","vpd","wind_speed","max_wind_speed","ET","P_mm","south_5"
"1",2016-06-04 14:00:00,2016-06-04,"Campaign_1","14:00",14,-27.3037884310732,0.806482292749437,-1327.65620023487,0.947149977951331,1.35364213600461e-193,-9.19634950329081,0.270718143934777,-122.5516588968,0.575403257678979,9.51645552283763e-58,302,22.5197599473889,1.0304337419242,-86.3794935786533,2.71752551191046,-14.6494371814513,0.321832882373661,2016-06-04 14:00:00,663.1473,30.09972,34.82166667,0.00949850240618843,2774.58049597422,3.99168599909642,8.85649785676626,0.427660719084437,0,0.30695
"2",2016-06-04 15:00:00,2016-06-04,"Campaign_1","15:00",15,-63.0318001025471,0.805699147551983,-549.723255019865,0.779459520584323,4.72162358978687e-108,-8.61116360396331,0.258921462874627,-130.350336836117,0.658026563263877,2.99886866577789e-77,325,20.2426986003074,0.831646385856654,-90.2327416241873,1.22660713011744,-15.0610488093422,0.316554581506241,2016-06-04 15:00:00,515.3258,30.192195,30.82,0.00845503330479212,2959.61319254829,3.47384597915609,7.94590851937864,0.515306355410396,0,0.304825
"3",2016-06-04 16:00:00,2016-06-04,"Campaign_1","16:00",16,-61.3236450460436,1.56122577120524,-567.606226815155,0.527427823959266,5.50196240703582e-56,-8.2125897307204,0.483646532474495,-132.769333895737,0.38887031151168,2.1991907710872e-37,334,18.8996174324487,0.40486433143164,-91.3697256982513,0.863858859755116,-15.2406981726497,0.235327424309178,2016-06-04 16:00:00,489.22165,30.528,25.288333335,0.00707211207521579,3257.93610420217,4.28504496726773,11.2906633528434,0.445145389625286,0,0.3024875
"4",2016-06-04 17:00:00,2016-06-04,"Campaign_1","17:00",17,-45.2448680035845,3.00518323791308,-819.803061536358,0.415806181244109,2.72433348154379e-42,-4.14443801682279,0.607901085624033,-203.854065800434,0.518199501052243,8.12307498727289e-57,348,17.3940240414404,0.362199621650861,-92.3957204301657,1.46122980244674,-15.8690746083252,0.325480772787144,2016-06-04 17:00:00,332.5967,29.874835,24.7275,0.00665666891450233,3162.41577121193,4.47612961789293,11.5323516461883,0.397548518591334,0,0.30015
"5",2016-06-04 18:00:00,2016-06-04,"Campaign_1","18:00",18,-54.169509019113,1.81617546129616,-632.197424287329,0.540452121917171,4.67797868124955e-61,-7.63592573328021,0.520981302537197,-138.019454379049,0.405185840581406,2.19130621355589e-41,352,17.1656874519039,0.311498075277893,-91.0107244722458,0.908209376725598,-15.6789899093712,0.228994498402969,2016-06-04 18:00:00,167.5999,28.916045,25.441666665,0.0064807124231084,2964.15141338644,4.23892178410127,10.4014870273771,0.263900925933104,0,0.2995125
"6",2016-06-06 11:00:00,2016-06-06,"Campaign_1","11:00",11,-1.02598583643521,18.6937317069439,-1843.34976188753,0.122840279724729,5.1658010706983e-06,25.431887544308,7.22245588463703,-847.331550277038,0.165437658965266,8.60055150685511e-08,161,20.8970736686764,0.0475594751393093,-89.2373439254391,0.572672629932175,-15.1161779107594,0.226832494055269,2016-06-06 11:00:00,604.59675,27.304115,40.915833335,0.00948880609459196,2140.31614997455,1.27048195369034,4.22722781558411,0.40322781134941,0,0.27071875
"7",2016-06-06 12:00:00,2016-06-06,"Campaign_1","12:00",12,-75.9359505049212,2.93010336753545,-258.211627682959,0.0536485529851647,3.50628825110544e-05,-20.9969895936014,1.09628105072852,133.357783431043,0.0974909580418196,1.66506405439658e-08,313,20.9908242911729,0.216471477306846,-88.2384291675444,0.551048536480851,-14.6431654073043,0.211119944734648,2016-06-06 12:00:00,678.58475,28.244435,33.560833335,0.00822392592164636,2540.4703440361,1.71683027119105,5.57438347359729,0.524772981298582,0,0.26838125
"8",2016-06-06 13:00:00,2016-06-06,"Campaign_1","13:00",13,-69.3634681893657,1.20332812727452,-401.629518401077,0.46908809326557,7.05340080975464e-47,-8.79513621913545,0.389404781073311,-118.430897861975,0.423175218279677,5.75403100496014e-41,329,19.654194218493,0.488506880661095,-89.8109137719633,0.745242593304193,-14.8245967751512,0.231368460625968,2016-06-06 13:00:00,702.45025,28.96941,31.0125,0.00792980538334453,2750.78665650266,1.33820159733174,6.06161219544296,0.505794726706198,0,0.2672125
"9",2016-06-06 14:00:00,2016-06-06,"Campaign_1","14:00",14,-73.8258202097281,1.53046967939981,-297.394291702302,0.237959690328689,1.31361521156612e-21,-13.4155219752993,0.47519802089659,-25.8544916773211,0.0238961770998021,0.00439115044993133,338,18.9821084636825,0.39134610353294,-89.4994156880309,0.649532767429661,-14.7781333473196,0.178193526956606,2016-06-06 14:00:00,683.6914,29.323095,29.640833335,0.00773895104292583,2863.3154406261,1.18244070772346,4.91657868496155,0.44645196940233,0,0.26540625
"10",2016-06-06 15:00:00,2016-06-06,"Campaign_1","15:00",15,-16.6950320095375,3.00800908481986,-1374.6535868256,0.62413491646954,4.89695545637313e-71,-5.46368552627989,0.815474861088268,-175.014699431185,0.268055306332463,8.04852282425828e-24,327,19.677441653503,0.265403650038293,-86.5671716894556,1.20271302150841,-14.3594914528723,0.233652431661301,2016-06-06 15:00:00,614.1439,29.89066,28.955,0.00781509972063517,2987.33287087199,0.273458391879331,4.62354475371365,0.404750341604877,0,0.26306875
