DATE                      TIME                      DAYS_SINCE_JAN            H2O                       D_1816                    D_DH                     
08/11/15                  11:31:59.7                2.2243888579E+2           1.9542609019E+4           2.1133317300E+1           -4.1222031051E+1         
08/11/15                  11:32:05.2                2.2243894981E+2           1.9544606951E+4           2.1111889054E+1           -4.2003899098E+1         
08/11/15                  11:32:10.8                2.2243901433E+2           1.9557887565E+4           2.2154645874E+1           -4.0756745184E+1         
08/11/15                  11:32:16.4                2.2243907919E+2           1.9551992775E+4           2.1629170854E+1           -4.0286722917E+1         
08/11/15                  11:32:22.0                2.2243914359E+2           1.9537201397E+4           2.1848400104E+1           -4.1057284165E+1         
08/11/15                  11:32:27.5                2.2243920776E+2           1.8955070202E+4           2.2042712422E+1           -3.7530189375E+1         
08/11/15                  11:32:33.0                2.2243927174E+2           1.8381862279E+4           2.4396688107E+1           -3.3800477452E+1         
08/11/15                  11:32:40.7                2.2243935999E+2           2.1658068436E+4           1.9291541504E+1           -1.7999818763E+1         
08/11/15                  11:32:46.5                2.2243942766E+2           2.1661985350E+4           1.9546417690E+1           -4.8494831902E+1         
08/11/15                  11:32:52.2                2.2243949341E+2           2.0271940248E+4           2.0639976770E+1           -4.7552624135E+1         
08/11/15                  11:32:57.6                2.2243955634E+2           1.7146711726E+4           2.0676149192E+1           -4.5402626290E+1         
08/11/15                  11:33:03.0                2.2243961835E+2           1.5075915060E+4           2.1300776851E+1           -4.3860608079E+1         
08/11/15                  11:33:08.2                2.2243967870E+2           1.4647689628E+4           1.9304707816E+1           -4.7498128491E+1         
08/11/15                  11:33:13.4                2.2243973934E+2           1.5020534396E+4           1.9042988729E+1           -4.4745506364E+1         
08/11/15                  11:33:18.7                2.2243980057E+2           1.5643665704E+4           1.9932756739E+1           -4.5165906955E+1         
08/11/15                  11:33:24.0                2.2243986187E+2           1.6305184875E+4           1.9831819015E+1           -4.5762439296E+1         
08/11/15                  11:33:29.4                2.2243992396E+2           1.6960509546E+4           2.0359927666E+1           -4.6196893285E+1         
08/11/15                  11:33:34.8                2.2243998669E+2           1.7544368826E+4           2.0232065974E+1           -4.5266780816E+1         
08/11/15                  11:33:42.1                2.2244007093E+2           1.8139371568E+4           1.8060516426E+1           -5.0091248195E+1         
08/11/15                  11:33:47.4                2.2244013294E+2           1.8448894151E+4           1.7182634166E+1           -4.9638880387E+1         
08/11/15                  11:33:52.9                2.2244019644E+2           1.8659778989E+4           1.7516976678E+1           -5.0012388919E+1         
08/11/15                  11:33:58.3                2.2244025902E+2           1.8821052400E+4           1.7190296714E+1           -4.9910763986E+1         
08/11/15                  11:34:03.8                2.2244032254E+2           1.8907349618E+4           1.7029043907E+1           -5.0011114768E+1         
08/11/15                  11:34:09.4                2.2244038692E+2           1.8990375878E+4           1.6302169962E+1           -5.0683221696E+1         
08/11/15                  11:34:14.9                2.2244045129E+2           1.9034559072E+4           1.5979087993E+1           -5.2822417355E+1         
08/11/15                  11:34:20.5                2.2244051583E+2           1.9082656536E+4           1.5588650955E+1           -5.2806639989E+1         
