DATE                      TIME                      DAYS_SINCE_JAN            DAS_TEMP_(C)              BASELINE                  H2O                       D_1816                    D_DH                     
06/19/16                  12:14:16.5                1.7046824746E+2           3.8317857140E+1           7.8377182975E+2           3.5372126457E+4           -6.5176044952E+0          -5.4782036564E+1         
06/19/16                  12:14:51.2                1.7046864863E+2           3.8316406250E+1           7.8350935086E+2           3.5532158974E+4           -7.5529586275E+0          -5.4892231765E+1         
06/19/16                  12:15:22.7                1.7046901369E+2           3.8381465520E+1           7.8331537755E+2           3.5497036142E+4           -6.7368210042E+0          -5.4921953568E+1         
06/19/16                  12:15:54.1                1.7046937728E+2           3.8463541670E+1           7.8363154200E+2           3.5538452470E+4           -6.0798294898E+0          -5.5130738130E+1         
06/19/16                  12:16:26.5                1.7046975164E+2           3.8537037040E+1           7.8350210493E+2           3.5634130563E+4           -8.2312809218E+0          -5.5889093637E+1         
06/19/16                  12:16:56.7                1.7047010139E+2           3.8616935480E+1           7.8360026423E+2           3.5738988732E+4           -7.9314489785E+0          -5.5158046991E+1         
06/19/16                  12:17:31.5                1.7047050415E+2           3.8742857140E+1           7.8253193782E+2           3.5863357547E+4           -7.5011452622E+0          -5.4233412071E+1         
