DATE                      TIME                      DAYS_SINCE_JAN            DAS_TEMP_(C)              BASELINE                  H2O                       D_1816                    D_DH                     
07/07/16                  11:09:38.7                1.8842336522E+2           3.6420454550E+1           7.8812222985E+2           3.6633909228E+4           -9.1694943330E+0          -6.0365162272E+1         
07/07/16                  11:10:00.1                1.8842361248E+2           3.6385416670E+1           7.8716051338E+2           3.6770180473E+4           -7.2282926851E+0          -5.9429615842E+1         
07/07/16                  11:10:25.8                1.8842391053E+2           3.6395833330E+1           7.8606444755E+2           3.6569193463E+4           -9.3513638388E+0          -5.8517977908E+1         
07/07/16                  11:10:50.1                1.8842419139E+2           3.6434895830E+1           7.8474545231E+2           3.7988758613E+4           -6.6958427155E+0          -4.7811524156E+1         
07/07/16                  11:11:12.2                1.8842444706E+2           3.6481250000E+1           7.8782742553E+2           3.7884233269E+4           -7.0375363639E+0          -5.7244279277E+1         
07/07/16                  11:11:36.6                1.8842472957E+2           3.6502083330E+1           7.8461953177E+2           3.8593700098E+4           -7.2011534607E+0          -4.9239020056E+1         
07/07/16                  11:12:05.2                1.8842506027E+2           3.6530000000E+1           7.8647544099E+2           3.7568680541E+4           -1.0448168794E+1          -5.6944694000E+1         
07/07/16                  11:12:28.4                1.8842532982E+2           3.6562500000E+1           7.8403766330E+2           3.6766852003E+4           -7.8456403040E+0          -5.6898075406E+1         
07/07/16                  11:12:46.3                1.8842553630E+2           3.6562500000E+1           7.8681325949E+2           3.5808866273E+4           -9.4489127909E+0          -5.9967028226E+1         
07/07/16                  11:13:05.3                1.8842575673E+2           3.6562500000E+1           7.8640525241E+2           3.6268063646E+4           -8.5716415807E+0          -5.9477921063E+1         
07/07/16                  11:13:22.1                1.8842595110E+2           3.6556818180E+1           7.8609841100E+2           3.5807973242E+4           -9.0901893515E+0          -5.9549027169E+1         
07/07/16                  11:13:39.7                1.8842615420E+2           3.6553125000E+1           7.8596094261E+2           3.5705213798E+4           -8.8447408144E+0          -5.9730557405E+1         
07/07/16                  11:13:58.8                1.8842637555E+2           3.6562500000E+1           7.8687055574E+2           3.5565554019E+4           -8.7334828946E+0          -6.0637631827E+1         
07/07/16                  11:14:16.7                1.8842658274E+2           3.6577380950E+1           7.8703009536E+2           3.6307008629E+4           -1.3829379022E+1          -6.0558583461E+1         
07/07/16                  11:14:39.9                1.8842685167E+2           3.6610000000E+1           7.8970348040E+2           3.7355216646E+4           -8.4711788888E+0          -6.4532229367E+1         
07/07/16                  11:15:04.3                1.8842713361E+2           3.6631250000E+1           7.8168834528E+2           3.8026548445E+4           1.0868320234E+1           -5.3735003600E+1         
07/07/16                  11:15:26.5                1.8842739069E+2           3.6645833330E+1           7.8827489543E+2           3.5037071450E+4           -6.8275215944E+0          -6.1262411237E+1         
07/07/16                  11:15:46.4                1.8842762045E+2           3.6681547620E+1           7.8518218474E+2           3.5148974161E+4           -9.5564838064E+0          -5.8785947846E+1         
07/07/16                  11:16:08.9                1.8842788131E+2           3.6687500000E+1           7.8540564204E+2           3.4697566970E+4           -8.6090422585E+0          -6.0765066721E+1         
07/07/16                  11:16:26.0                1.8842807961E+2           3.6687500000E+1           7.8600378952E+2           3.4658696576E+4           -9.5144138312E+0          -6.1796568728E+1         
07/07/16                  11:16:43.6                1.8842828303E+2           3.6687500000E+1           7.8741768588E+2           3.5481438128E+4           -9.2529842024E+0          -6.1570044156E+1         
07/07/16                  11:16:58.6                1.8842845689E+2           3.6741666670E+1           7.8710120175E+2           3.6184085368E+4           -9.8786125296E+0          -6.0063790562E+1         
07/07/16                  11:17:16.6                1.8842866545E+2           3.6769736840E+1           7.8756209527E+2           3.6169526066E+4           -9.3398088382E+0          -6.0661472807E+1         
07/07/16                  11:17:36.0                1.8842888940E+2           3.6812500000E+1           7.8650513749E+2           3.6967333875E+4           -9.9122021287E+0          -5.9535615995E+1         
07/07/16                  11:17:57.3                1.8842913647E+2           3.6855978260E+1           7.8594184196E+2           3.7548572242E+4           -8.5906209879E+0          -5.7167691068E+1         
07/07/16                  11:18:21.6                1.8842941764E+2           3.6837500000E+1           7.8576006299E+2           3.6893584463E+4           -1.3255435053E+1          -5.8254258783E+1         
07/07/16                  11:18:42.5                1.8842965904E+2           3.6872159090E+1           7.8551918382E+2           3.6709219664E+4           -8.2774797332E+0          -5.8142376288E+1         
07/07/16                  11:19:09.0                1.8842996578E+2           3.6877717390E+1           7.8533011414E+2           3.6133112236E+4           -6.9426286955E+0          -5.8454742961E+1         
07/07/16                  11:19:25.0                1.8843015162E+2           3.6879464290E+1           7.8655209036E+2           3.5194384045E+4           -8.1108867324E+0          -6.1399637066E+1         
07/07/16                  11:19:42.2                1.8843034965E+2           3.6878125000E+1           7.8674524890E+2           3.5327545802E+4           -9.6843380095E+0          -6.1589953132E+1         
07/07/16                  11:20:01.1                1.8843056913E+2           3.6921875000E+1           7.8612063963E+2           3.7724564948E+4           -3.1934033839E+1          -5.8272997655E+1         
07/07/16                  11:20:21.6                1.8843080576E+2           3.6937500000E+1           7.9541691590E+2           3.9591088295E+4           -1.0859099811E+1          -8.8758517734E+1         
07/07/16                  11:20:55.4                1.8843119734E+2           3.6937500000E+1           8.4149749818E+2           5.0971843241E+4           -4.7356648734E+0          1.3496726033E+1          
