DATE                      TIME                      DAYS_SINCE_JAN            H2O                       D_1816                    D_DH                     
08/10/15                  17:07:41.3                2.2167200583E+2           1.8642681617E+4           2.0527588814E+1           -4.6403809172E+1         
08/10/15                  17:07:46.8                2.2167207022E+2           1.8658887344E+4           2.0149805215E+1           -4.5462018550E+1         
08/10/15                  17:07:52.4                2.2167213428E+2           1.8668936585E+4           2.0481686162E+1           -4.5455965478E+1         
08/10/15                  17:07:57.9                2.2167219871E+2           1.8673149234E+4           2.0685145161E+1           -4.6280518577E+1         
08/10/15                  17:08:03.4                2.2167226271E+2           1.8671149669E+4           2.1268707416E+1           -4.6007982039E+1         
08/10/15                  17:08:09.0                2.2167232701E+2           1.8669166624E+4           2.1341443365E+1           -4.6412467739E+1         
08/10/15                  17:08:14.5                2.2167239067E+2           1.8072674964E+4           2.0249300347E+1           -3.9870795747E+1         
08/10/15                  17:08:22.0                2.2167247693E+2           1.8537239773E+4           2.0562884025E+1           -4.7467654053E+1         
08/10/15                  17:08:27.7                2.2167254307E+2           2.1158971986E+4           1.1312587793E+1           -2.7764465765E+1         
08/10/15                  17:08:33.3                2.2167260795E+2           2.0870901365E+4           1.8739848192E+1           -5.2647541701E+1         
08/10/15                  17:08:38.9                2.2167267341E+2           1.9488275750E+4           1.9827470938E+1           -5.0254799125E+1         
08/10/15                  17:08:44.4                2.2167273676E+2           1.6418719157E+4           2.0701876481E+1           -5.0444848737E+1         
08/10/15                  17:08:49.8                2.2167279908E+2           1.4358890089E+4           1.8896109144E+1           -4.8402550594E+1         
08/10/15                  17:08:55.0                2.2167285992E+2           1.3847296926E+4           1.9538996157E+1           -4.9513668333E+1         
08/10/15                  17:09:00.3                2.2167292120E+2           1.4200299135E+4           1.9821095575E+1           -5.0186053280E+1         
08/10/15                  17:09:05.6                2.2167298249E+2           1.4816767384E+4           1.9464995222E+1           -4.8501179222E+1         
08/10/15                  17:09:10.9                2.2167304398E+2           1.5512972781E+4           1.9290239007E+1           -4.8715820730E+1         
08/10/15                  17:09:16.3                2.2167310639E+2           1.6182098927E+4           1.9501221888E+1           -5.0373311523E+1         
08/10/15                  17:09:23.7                2.2167319210E+2           1.6973202042E+4           1.7163108508E+1           -5.3136355644E+1         
08/10/15                  17:09:29.1                2.2167325439E+2           1.7391572999E+4           1.7626751094E+1           -5.4286214054E+1         
08/10/15                  17:09:34.6                2.2167331801E+2           1.7709083993E+4           1.7015175364E+1           -5.5457428606E+1         
08/10/15                  17:09:40.2                2.2167338246E+2           1.7935729840E+4           1.7116943149E+1           -5.4735226157E+1         
08/10/15                  17:09:45.6                2.2167344543E+2           1.8088112616E+4           1.7838620827E+1           -5.5855276353E+1         
08/10/15                  17:09:51.1                2.2167350837E+2           1.8184417911E+4           1.6575564188E+1           -5.6414413501E+1         
08/10/15                  17:09:56.6                2.2167357204E+2           1.8257718674E+4           1.5664431575E+1           -5.6555582893E+1         
08/10/15                  17:10:02.1                2.2167363546E+2           1.8314928149E+4           1.6042029821E+1           -5.7846030796E+1         
08/10/15                  17:10:07.5                2.2167369880E+2           1.8364491710E+4           1.5695750325E+1           -5.6161034987E+1         
08/10/15                  17:10:13.1                2.2167376381E+2           1.8388045493E+4           1.5708451725E+1           -5.7472809449E+1         
08/10/15                  17:10:18.7                2.2167382772E+2           1.8456184531E+4           1.5851061423E+1           -5.5217665050E+1         
08/10/15                  17:10:26.0                2.2167391253E+2           1.8521628128E+4           1.4353294037E+1           -5.9176227098E+1         
08/10/15                  17:10:31.4                2.2167397549E+2           1.8558318623E+4           1.3764666037E+1           -5.8789309661E+1         
08/10/15                  17:10:36.9                2.2167403934E+2           1.8569317650E+4           1.4332287118E+1           -5.9603434759E+1         
08/10/15                  17:10:42.5                2.2167410369E+2           1.8620036921E+4           1.3829243714E+1           -5.9387820071E+1         
08/10/15                  17:10:48.2                2.2167416899E+2           1.8628396022E+4           1.4375834763E+1           -5.8718666060E+1         
08/10/15                  17:10:53.8                2.2167423401E+2           1.8663839917E+4           1.3295176504E+1           -6.1368603157E+1         
08/10/15                  17:10:59.2                2.2167429738E+2           1.8670827695E+4           1.3627359411E+1           -6.1464109014E+1         
08/10/15                  17:11:04.8                2.2167436141E+2           1.8699649489E+4           1.3508100044E+1           -6.0309881524E+1         
08/10/15                  17:11:10.3                2.2167442506E+2           1.8703495911E+4           1.3724528415E+1           -5.9592169870E+1         
08/10/15                  17:11:15.7                2.2167448801E+2           1.8710308490E+4           1.4008652963E+1           -6.0955187000E+1         
08/10/15                  17:11:21.2                2.2167455178E+2           1.8713991329E+4           1.3123982044E+1           -6.3112923540E+1         
08/10/15                  17:11:28.5                2.2167463586E+2           1.8737345575E+4           1.1927449828E+1           -6.5922254658E+1         
08/10/15                  17:11:33.9                2.2167469890E+2           1.8743822510E+4           1.2095872240E+1           -6.5182648829E+1         
08/10/15                  17:11:39.5                2.2167476368E+2           1.8737359951E+4           1.2295658704E+1           -6.6023306764E+1         
08/10/15                  17:11:45.2                2.2167482874E+2           1.8769895907E+4           1.2620817395E+1           -6.6167664227E+1         
08/10/15                  17:11:50.7                2.2167489273E+2           1.8766765501E+4           1.2496837932E+1           -6.8387994716E+1         
