DATE                      TIME                      DAYS_SINCE_JAN            CAVITY_TEMP               CAVITY_PRESSURE           DAS_TEMP_(C)              ETALON_TEMP               OUTLET_PROPORTIONAL_VALVE SOLENOID_VALVES           SPECTRUMID                CLOCK_DRIFT               TIME_DELAY                BASELINE                  H2O_SPLINE_AMP            H2O                       SPLINEMAX                 D_1816                    D_1816_AVE1               D_1816_AVE2               D_DH                      D_DH_AVE1                 GALPEAK77                 GALPEAK79                 D_DH_AVE2                 CM_ADJUST                 WLM_OFFSET                BASELINE_SLOPE            CM_SHIFT_AVE              H2O_Y_EFF                 GALPEAK82                 PZT_CENTER                PZT_SD                    STDV_RESIDUALS            PZT_FILTERED              WLM_SETPOINT_FILTERED     BAD_RINGDOWNS_FILTERED    SPARSE_FILTERED           TOTAL_FILTERED            ENGINE_FILE_NUMBER        RAW_1816                  RAW_DH                    FINECURRENT_MEAN          LASER1_TEMP_OFFSET        WARM_BOX_TEMPERATURE     
12/20/16                  20:59:13.5                3.5487446269E+2           7.9749133300E+1           3.5007442470E+1           2.7862500000E+1           4.5201684570E+1           4.1892000000E+4           0.0000000000E+0           1.2000000000E+2           -8.9400001452E-1          5.0610350000E+0           8.7867474462E+2           8.6191381646E-2           1.0180173329E+3           1.3490820738E+2           6.9700730388E+1           7.2654319291E+1           7.3094864403E+1           -1.2253483016E+1          -1.1181162892E+2          2.1791487296E+1           1.5496301782E+0           -1.0988992291E+2          7.3870000000E-3           -2.3680000000E-2          1.1860000000E+0           7.3865707900E-3           7.0766370893E-1           8.0989070429E-1           5.2560500000E+4           4.4831043003E+2           2.3803342913E+0           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0           7.0000000000E+0           7.0000000000E+0           4.0000000000E+0           1.6152825479E-1           6.0032722991E-3           -5.0461211226E+3          -6.0000002384E-1          4.4992614750E+1          
12/20/16                  20:59:18.6                3.5487452124E+2           7.9782541910E+1           3.5007442470E+1           2.7875000000E+1           4.5200693770E+1           4.1892666670E+4           0.0000000000E+0           1.2000000000E+2           -8.9400001452E-1          5.0620120000E+0           8.7894085733E+2           8.4556772654E-2           1.0032348999E+3           1.3294923137E+2           7.5767250194E+1           7.3701910146E+1           7.3302709991E+1           -2.4723723166E+2          -1.5738624246E+2          2.2972651633E+1           2.6588394914E+0           -1.2057215012E+2          7.3050000000E-3           -2.3680000000E-2          1.1860000000E+0           7.3054941157E-3           7.1152878684E-1           -1.0524475213E+0          5.2560500000E+4           4.4831043003E+2           2.9252952075E+0           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0           1.2000000000E+1           1.2000000000E+1           4.0000000000E+0           1.7279266225E-1           -7.9161610069E-3          -4.9737060561E+3          -6.0000002384E-1          4.4991577150E+1          
12/20/16                  20:59:23.7                3.5487457989E+2           7.9824011230E+1           3.5014869690E+1           2.7887500000E+1           4.5199664310E+1           4.1901200000E+4           0.0000000000E+0           1.2000000000E+2           -8.9600004139E-1          5.0600580000E+0           8.7958562760E+2           8.6165671194E-2           1.0077926238E+3           1.3355322341E+2           7.2576182021E+1           7.3322595205E+1           7.3246105533E+1           -2.3001450936E+2          -1.8185839175E+2          2.2285700722E+1           -5.0203663485E-1          -1.2909890438E+2          7.3620000000E-3           -2.3630000000E-2          1.1860000000E+0           7.3621440975E-3           6.9934619706E-1           -9.2097978845E-1          5.4384426380E+4           4.4023241367E+2           2.2798191034E+0           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0           1.5000000000E+1           1.5000000000E+1           5.0000000000E+0           1.6686756151E-1           -6.8959757387E-3          -5.1766863905E+3          -6.0000002384E-1          4.4990423580E+1          
12/20/16                  20:59:30.5                3.5487465952E+2           7.9868933110E+1           3.5018583680E+1           2.7937500000E+1           4.5199456790E+1           4.1915800000E+4           0.0000000000E+0           1.2000000000E+2           -8.9600002044E-1          6.8808600000E+0           8.7918031642E+2           8.7162141832E-2           1.0163193335E+3           1.3468318758E+2           6.8732413506E+1           7.1448632125E+1           7.2781621138E+1           -2.2737846599E+2          -2.0044217430E+2          2.1513002820E+1           2.4588457205E+0           -1.3921242618E+2          7.3740000000E-3           -2.3580000000E-2          1.1860000000E+0           7.3737746200E-3           6.9675375431E-1           -9.0774642273E-1          5.4384426380E+4           4.4023241367E+2           2.1164789805E+0           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0           1.1000000000E+1           1.1000000000E+1           6.0000000000E+0           1.5973042520E-1           -6.7398644108E-3          -5.7604881657E+3          -6.0000002384E-1          4.4989959720E+1          
12/20/16                  20:59:35.6                3.5487471794E+2           7.9901409910E+1           3.5014869690E+1           2.7937500000E+1           4.5199267580E+1           4.1919800000E+4           0.0000000000E+0           1.2000000000E+2           -8.9600002044E-1          5.0461420000E+0           8.7917546040E+2           8.5591129129E-2           1.0037047684E+3           1.3301149860E+2           7.3492543338E+1           7.2135518684E+1           7.2836807407E+1           -1.8640722817E+2          -1.9572552331E+2          2.2421634819E+1           -6.7448141234E-1          -1.4287598464E+2          7.2650000000E-3           -2.3580000000E-2          1.1860000000E+0           7.2652987411E-3           7.0156758593E-1           -5.7365688507E-1          5.4384426380E+4           4.4023241367E+2           2.0396066256E+0           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0           7.0000000000E+0           7.0000000000E+0           6.0000000000E+0           1.6856914669E-1           -4.3128367931E-3          -4.8860546529E+3          -6.0000002384E-1          4.4988739010E+1          
12/20/16                  20:59:40.6                3.5487477652E+2           7.9930200200E+1           3.5022296910E+1           2.7962500000E+1           4.5198632810E+1           4.1921800000E+4           0.0000000000E+0           1.2000000000E+2           -8.9600002044E-1          5.0678710000E+0           8.8103627613E+2           8.9016126048E-2           9.9190393934E+2           1.3144764635E+2           8.3575928665E+1           7.5987265927E+1           7.3672564462E+1           -4.5387513041E+2          -2.8263910762E+2          2.4619045342E+1           1.0884611803E+0           -1.6707905711E+2          7.3150000000E-3           -2.3580000000E-2          1.1860000000E+0           7.3154183553E-3           6.5939680085E-1           -2.6495264000E+0          5.4384426380E+4           4.4023241367E+2           2.4286979477E+0           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0           8.0000000000E+0           8.0000000000E+0           6.0000000000E+0           1.8729164064E-1           -2.0156514579E-2          -5.0893973412E+3          -6.0000002384E-1          4.4988580320E+1          
12/20/16                  20:59:45.7                3.5487483503E+2           7.9957739260E+1           3.5007442470E+1           2.8000000000E+1           4.5196942140E+1           4.1931600000E+4           0.0000000000E+0           1.2000000000E+2           -8.9600002044E-1          5.0529790000E+0           8.7876126379E+2           8.4892455003E-2           9.9566943087E+2           1.3194665132E+2           8.3830340918E+1           7.8625864279E+1           7.4462246491E+1           -2.1021620435E+2          -2.5827430766E+2          2.4774813688E+1           3.7712327876E+0           -1.7043260895E+2          7.2610000000E-3           -2.3580000000E-2          1.1860000000E+0           7.2608411931E-3           7.0170189144E-1           -7.5515050196E-1          5.4384426380E+4           4.4023241367E+2           2.2888962720E+0           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0           1.1000000000E+1           1.1000000000E+1           6.0000000000E+0           1.8776386850E-1           -5.7231501853E-3          -5.0940945347E+3          -6.0000002384E-1          4.4987469480E+1          
12/20/16                  20:59:50.7                3.5487489350E+2           7.9981079100E+1           3.5007442470E+1           2.8000000000E+1           4.5197601320E+1           4.1942666670E+4           0.0000000000E+0           1.2000000000E+2           -8.9600002044E-1          5.0541990000E+0           8.8144637284E+2           8.9286863330E-2           9.8715786350E+2           1.3081869381E+2           8.7394303174E+1           8.1574177605E+1           7.5466848042E+1           -3.6294020227E+2          -2.9346732840E+2          2.5428731562E+1           2.5474384293E-1           -1.8538718513E+2          7.3330000000E-3           -2.3580000000E-2          1.1860000000E+0           7.3332424787E-3           6.5311612250E-1           -1.9321753775E+0          5.4384426380E+4           4.4023241367E+2           2.4514523675E+0           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0           1.0000000000E+1           1.0000000000E+1           6.0000000000E+0           1.9438148189E-1           -1.4769872112E-2          -5.2503737075E+3          -6.0000002384E-1          4.4985565190E+1          
12/20/16                  20:59:55.8                3.5487495215E+2           8.0015332030E+1           3.5014869690E+1           2.8012500000E+1           4.5195416260E+1           4.1943800000E+4           0.0000000000E+0           1.2000000000E+2           -8.9600000996E-1          5.0610350000E+0           8.8161855307E+2           8.9833286638E-2           9.8731143523E+2           1.3083904522E+2           8.0275709927E+1           8.1136675090E+1           7.5841490447E+1           -5.4275461012E+2          -3.7746157373E+2          2.3703354846E+1           -2.7731582238E+0          -2.1322849034E+2          7.2940000000E-3           -2.3530000000E-2          1.1860000000E+0           7.2940723683E-3           6.4838157161E-1           -3.3261064177E+0          5.4384426380E+4           4.4023241367E+2           2.1740007034E+0           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0           1.1000000000E+1           1.1000000000E+1           7.0000000000E+0           1.8116422973E-1           -2.5421359596E-2          -4.9839674556E+3          -6.0000002384E-1          4.4986358640E+1          
12/20/16                  21:00:00.9                3.5487501062E+2           8.0039575200E+1           3.5003728490E+1           2.8037500000E+1           4.5195098880E+1           4.1953800000E+4           0.0000000000E+0           1.2000000000E+2           -8.9600000996E-1          5.0458990000E+0           8.7693952266E+2           8.1340067362E-2           9.9890152550E+2           1.3237497025E+2           6.4310033346E+1           7.5478752701E+1           7.4945668286E+1           -8.9568546006E+1          -2.8065815733E+2          2.0057451035E+1           -2.8248341602E-1          -2.0362195775E+2          7.0770000000E-3           -2.3530000000E-2          1.1860000000E+0           7.0771534254E-3           7.4156903975E-1           1.8843851241E-1           5.4384426380E+4           4.4023241367E+2           2.4355842104E+0           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0           2.0000000000E+1           2.0000000000E+1           7.0000000000E+0           1.5151996633E-1           1.4235207159E-3           -4.8613131462E+3          -6.0000002384E-1          4.4986358640E+1          
