DATE                      TIME                      DAYS_SINCE_JAN            DAS_TEMP_(C)              BASELINE                  H2O                       D_1816                    D_DH                     
06/04/16                  19:17:22.9                1.5576207169E+2           3.4500000000E+1           7.8723750902E+2           5.8597885205E+2           -1.1375259578E+1          -1.4866249864E+2         
06/04/16                  19:17:28.0                1.5576213048E+2           3.4500000000E+1           7.8701418467E+2           5.5089715472E+2           -1.2039654390E+1          -1.2151363528E+2         
06/04/16                  19:17:33.1                1.5576218886E+2           3.4500000000E+1           7.8732681782E+2           5.1718260436E+2           -1.0079157984E+1          -1.5558947381E+2         
06/04/16                  19:17:38.1                1.5576224735E+2           3.4487500000E+1           7.8699237721E+2           4.8927377152E+2           -1.1270159337E+1          -1.2825866346E+2         
06/04/16                  19:17:43.2                1.5576230595E+2           3.4500000000E+1           7.8698730607E+2           4.6237573213E+2           -9.9806722103E+0          -1.1724892855E+2         
06/04/16                  19:17:48.2                1.5576236449E+2           3.4500000000E+1           7.8706868923E+2           4.3801580776E+2           -8.0863731403E+0          -1.1689800036E+2         
06/04/16                  19:17:53.3                1.5576242312E+2           3.4500000000E+1           7.8746380795E+2           4.2050816362E+2           -4.1548151665E+0          -1.4355733202E+2         
06/04/16                  19:18:00.2                1.5576250283E+2           3.4500000000E+1           7.8742410705E+2           4.2641673077E+2           -5.2497631836E+0          -1.5123789783E+2         
06/04/16                  19:18:05.2                1.5576256114E+2           3.4500000000E+1           7.8711433883E+2           4.1748198774E+2           -9.1988840587E+0          -1.2369108520E+2         
06/04/16                  19:18:10.3                1.5576261966E+2           3.4462500000E+1           7.8740176553E+2           4.0243177979E+2           -4.7583303773E+0          -1.4458162765E+2         
06/04/16                  19:18:15.4                1.5576267829E+2           3.4462500000E+1           7.8726921160E+2           3.3700092294E+2           -4.1216204340E+0          -1.3742039202E+2         
06/04/16                  19:18:20.4                1.5576273697E+2           3.4437500000E+1           7.8747829443E+2           2.7438708568E+2           6.2811471821E-1           -1.7336942162E+2         
06/04/16                  19:18:25.5                1.5576279564E+2           3.4437500000E+1           7.8703217058E+2           2.4872499415E+2           -2.7483672623E+0          -7.6656181994E+1         
06/04/16                  19:18:30.5                1.5576285413E+2           3.4437500000E+1           7.8715127954E+2           2.2838997898E+2           -1.4281767763E-1          -1.2813044452E+2         
06/04/16                  19:18:35.6                1.5576291283E+2           3.4450000000E+1           7.8692333979E+2           2.1649855826E+2           -3.1994482286E+0          -1.0947537084E+2         
06/04/16                  19:18:40.7                1.5576297128E+2           3.4450000000E+1           7.8705319395E+2           2.0481760977E+2           -5.1379291445E-1          -1.0431325754E+2         
06/04/16                  19:18:45.7                1.5576302989E+2           3.4437500000E+1           7.8704133870E+2           1.9515046167E+2           -1.9594712024E-1          -1.0422415690E+2         
06/04/16                  19:18:50.8                1.5576308853E+2           3.4437500000E+1           7.8735241670E+2           1.8446508510E+2           4.5793805455E+0           -1.4693795699E+2         
06/04/16                  19:18:57.7                1.5576316824E+2           3.4437500000E+1           7.8719866951E+2           1.7489008813E+2           2.4056663443E+0           -1.0701947326E+2         
06/04/16                  19:19:02.7                1.5576322666E+2           3.4437500000E+1           7.8726155273E+2           1.6687250656E+2           5.3838236040E+0           -1.2656123483E+2         
06/04/16                  19:19:07.8                1.5576328523E+2           3.4437500000E+1           7.8735754616E+2           1.5945993367E+2           5.8698573801E+0           -1.6578974614E+2         
06/04/16                  19:19:12.9                1.5576334385E+2           3.4437500000E+1           7.8691018952E+2           1.5591890374E+2           1.2114907880E+0           -1.0591322276E+2         
06/04/16                  19:19:17.9                1.5576340231E+2           3.4437500000E+1           7.8679082865E+2           1.5048164002E+2           1.5176114951E-1           -6.2446943177E+1         
06/04/16                  19:19:23.0                1.5576346087E+2           3.4437500000E+1           7.8682882333E+2           1.4435913513E+2           1.0867330979E+0           -5.4332944506E+1         
06/04/16                  19:19:28.0                1.5576351921E+2           3.4437500000E+1           7.8723107762E+2           1.3578930372E+2           8.7476761649E+0           -1.0376060092E+2         
06/04/16                  19:19:33.1                1.5576357765E+2           3.4437500000E+1           7.8712530537E+2           1.3097414338E+2           7.5452951500E+0           -1.0186243550E+2         
06/04/16                  19:19:38.1                1.5576363617E+2           3.4425000000E+1           7.8730872313E+2           1.2508702218E+2           9.7868962239E+0           -1.4625539570E+2         
06/04/16                  19:19:43.2                1.5576369467E+2           3.4437500000E+1           7.8726126778E+2           1.2032170622E+2           1.0193535690E+1           -1.4946228007E+2         
06/04/16                  19:19:48.2                1.5576375329E+2           3.4437500000E+1           7.8698957736E+2           1.1897318159E+2           2.2807348242E+0           -1.1560348999E+2         
06/04/16                  19:19:55.1                1.5576383300E+2           3.4437500000E+1           7.8720319569E+2           1.1076097264E+2           9.2988617577E+0           -1.3072363835E+2         
06/04/16                  19:20:00.2                1.5576389134E+2           3.4425000000E+1           7.8715986997E+2           1.0656394051E+2           8.7738890563E+0           -1.5196261994E+2         
06/04/16                  19:20:05.2                1.5576394984E+2           3.4437500000E+1           7.8712355254E+2           1.0282263755E+2           7.9503946342E+0           -1.3084208327E+2         
06/04/16                  19:20:10.3                1.5576400836E+2           3.4437500000E+1           7.8691629618E+2           9.9590104088E+1           8.0702949439E+0           -8.6007965640E+1         
06/04/16                  19:20:15.3                1.5576406691E+2           3.4437500000E+1           7.8725541115E+2           9.4310925074E+1           1.0484686185E+1           -1.3318254030E+2         
06/04/16                  19:20:20.4                1.5576412559E+2           3.4437500000E+1           7.8705841059E+2           9.1358628476E+1           9.5765102138E+0           -7.4746757685E+1         
06/04/16                  19:20:25.5                1.5576418406E+2           3.4437500000E+1           7.8691258061E+2           8.8809317698E+1           5.8500113175E+0           -7.7618266832E+1         
06/04/16                  19:20:30.5                1.5576424255E+2           3.4437500000E+1           7.8727680165E+2           8.2402453834E+1           1.4015366642E+1           -1.0924358578E+2         
06/04/16                  19:20:35.6                1.5576430113E+2           3.4450000000E+1           7.8773720214E+2           7.5224481466E+1           2.3978968729E+1           -2.2609023361E+2         
