DATE                      TIME                      DAYS_SINCE_JAN            DAS_TEMP_(C)              BASELINE                  H2O                       D_1816                    D_DH                     
06/27/16                  11:59:10.5                1.7845776153E+2           3.4800000000E+1           7.8541599304E+2           4.1375835325E+4           -4.1063034627E+0          -7.5815878459E+1         
06/27/16                  11:59:40.2                1.7845810532E+2           3.4812500000E+1           7.8444602755E+2           4.1249279993E+4           -3.4306166860E+0          -7.5907073018E+1         
06/27/16                  12:00:04.9                1.7845839097E+2           3.4777500000E+1           7.8386150034E+2           4.1164129787E+4           -3.8032989144E+0          -7.5850347557E+1         
06/27/16                  12:00:29.3                1.7845867354E+2           3.4783653850E+1           7.8358607429E+2           4.1143056027E+4           -3.5104417587E+0          -7.4496757423E+1         
06/27/16                  12:00:58.5                1.7845901108E+2           3.4775462960E+1           7.8371162013E+2           4.1124086967E+4           -4.8476983044E+0          -7.3089960030E+1         
06/27/16                  12:01:22.8                1.7845929214E+2           3.4747159090E+1           7.8422128612E+2           4.0567713870E+4           -3.2963459193E+0          -7.6355915388E+1         
06/27/16                  12:01:49.8                1.7845960477E+2           3.4703125000E+1           7.8521143760E+2           4.0641868340E+4           -4.5605846756E+0          -7.8629164452E+1         
06/27/16                  12:02:12.2                1.7845986370E+2           3.4640625000E+1           7.8486762665E+2           4.0748599813E+4           -4.1835065394E+0          -7.8525714457E+1         
06/27/16                  12:02:41.3                1.7846020088E+2           3.4579545450E+1           7.8369182893E+2           4.0680321337E+4           -3.7353089413E+0          -7.8099642338E+1         
06/27/16                  12:03:14.2                1.7846058161E+2           3.4514705880E+1           7.8344958942E+2           4.0558671751E+4           -4.6962420565E+0          -7.7497873156E+1         
06/27/16                  12:03:42.5                1.7846090882E+2           3.4500000000E+1           7.8374534199E+2           4.0452808021E+4           -5.1839724109E+0          -7.7423198128E+1         
06/27/16                  12:04:06.2                1.7846118366E+2           3.4532608700E+1           7.8348457111E+2           4.0457391757E+4           -5.4214679839E+0          -7.7952033336E+1         
06/27/16                  12:04:31.9                1.7846148109E+2           3.4495535710E+1           7.8360312495E+2           4.0425082703E+4           -5.2471059646E+0          -7.8029962957E+1         
06/27/16                  12:04:57.5                1.7846177664E+2           3.4511363640E+1           7.8394013902E+2           4.0444449316E+4           -5.2175640817E+0          -7.8515884912E+1         
06/27/16                  12:05:19.8                1.7846203519E+2           3.4587962960E+1           7.8374608865E+2           4.0465249564E+4           -5.3845548817E+0          -7.8347642548E+1         
06/27/16                  12:05:48.3                1.7846236542E+2           3.4600543480E+1           7.8357538349E+2           4.0502322176E+4           -5.6312056611E+0          -7.8005195586E+1         
06/27/16                  12:06:11.8                1.7846263693E+2           3.4617500000E+1           7.8383958715E+2           4.0532078900E+4           -4.6766150459E+0          -7.7522751147E+1         
06/27/16                  12:06:41.5                1.7846298123E+2           3.4675480770E+1           7.8364849118E+2           4.0636228996E+4           -6.0004591077E+0          -7.9037516774E+1         
06/27/16                  12:07:05.5                1.7846325844E+2           3.4643750000E+1           7.8376795374E+2           4.0671082144E+4           -4.8126230411E+0          -7.9508554613E+1         
06/27/16                  12:07:30.6                1.7846354888E+2           3.4579545450E+1           7.8384283423E+2           4.0729395199E+4           -5.7056799488E+0          -7.9292925016E+1         
06/27/16                  12:08:01.7                1.7846390935E+2           3.4552500000E+1           7.8337214938E+2           4.0694819825E+4           -5.9876633171E+0          -7.8632318194E+1         
06/27/16                  12:08:23.8                1.7846416444E+2           3.4531250000E+1           7.8322808361E+2           4.0769317928E+4           -5.5577609254E+0          -7.8314831493E+1         
06/27/16                  12:08:53.9                1.7846451321E+2           3.4443181820E+1           7.8330705573E+2           4.0818311046E+4           -6.8238338770E+0          -7.9623973990E+1         
06/27/16                  12:09:24.5                1.7846486772E+2           3.4456730770E+1           7.8471369556E+2           4.0887520049E+4           -5.8568549977E+0          -8.0691668418E+1         
06/27/16                  12:09:46.8                1.7846512516E+2           3.4514880950E+1           7.8349356917E+2           4.0906462914E+4           -6.7256429504E+0          -7.9175502849E+1         
06/27/16                  12:10:10.8                1.7846540286E+2           3.4575000000E+1           7.8356286238E+2           4.0958039203E+4           -6.7675583285E+0          -7.9631263441E+1         
