DATE                      TIME                      DAYS_SINCE_JAN            DAS_TEMP_(C)              BASELINE                  H2O                       D_1816                    D_DH                     
07/02/16                  13:39:50.4                1.8352766690E+2           3.9017361110E+1           7.8360315919E+2           4.3113073451E+4           -1.2666164075E+1          -5.7337371915E+1         
07/02/16                  13:40:20.6                1.8352801701E+2           3.8930357140E+1           7.8471658519E+2           4.3104262432E+4           -1.2474339393E+1          -5.7623261976E+1         
07/02/16                  13:40:56.5                1.8352843206E+2           3.8867788460E+1           7.8402853114E+2           4.3083396218E+4           -1.3463448455E+1          -5.7019572118E+1         
07/02/16                  13:41:23.8                1.8352874810E+2           3.8812500000E+1           7.8549479673E+2           4.3091537305E+4           -1.3660753367E+1          -5.8686549222E+1         
07/02/16                  13:41:52.6                1.8352908184E+2           3.8757211540E+1           7.8417206000E+2           4.3048746317E+4           -1.1504688073E+1          -5.8029507464E+1         
07/02/16                  13:42:21.1                1.8352941178E+2           3.8696120690E+1           7.8443326119E+2           4.2980783517E+4           -1.3099261146E+1          -5.8010123373E+1         
07/02/16                  13:42:56.7                1.8352982368E+2           3.8643581080E+1           7.8518533005E+2           4.2861646306E+4           -1.1423459517E+1          -5.9189834223E+1         
07/02/16                  13:43:36.4                1.8353028267E+2           3.8584677420E+1           7.8360513541E+2           4.2788636601E+4           -1.2789995818E+1          -5.7454300081E+1         
07/02/16                  13:44:03.7                1.8353059866E+2           3.8562500000E+1           7.8470708772E+2           4.2788684087E+4           -1.1984573023E+1          -5.8325812448E+1         
07/02/16                  13:44:33.5                1.8353094377E+2           3.8513671870E+1           7.8584812652E+2           4.2823824337E+4           -1.1592906472E+1          -5.9364599842E+1         
07/02/16                  13:44:58.7                1.8353123548E+2           3.8493303570E+1           7.8468080856E+2           4.2870866085E+4           -1.2055873353E+1          -5.8834169723E+1         
07/02/16                  13:45:39.5                1.8353170776E+2           3.8445723680E+1           7.8532778575E+2           4.2895304489E+4           -1.3148824112E+1          -5.9554007591E+1         
07/02/16                  13:46:12.2                1.8353208592E+2           3.8405405410E+1           7.8461578636E+2           4.2900483512E+4           -1.2982949622E+1          -5.8870883405E+1         
07/02/16                  13:46:46.1                1.8353247861E+2           3.8375000000E+1           7.8543769184E+2           4.2895013720E+4           -1.1499814578E+1          -5.9239627201E+1         
07/02/16                  13:47:11.3                1.8353277024E+2           3.8357142860E+1           7.8551279912E+2           4.2861559461E+4           -1.1951656168E+1          -5.9682472657E+1         
07/02/16                  13:47:35.8                1.8353305396E+2           3.8316964290E+1           7.8464313907E+2           4.2842890011E+4           -1.1950367725E+1          -5.9202977065E+1         
07/02/16                  13:48:11.2                1.8353346314E+2           3.8304924240E+1           7.8491581399E+2           4.2836228404E+4           -1.2374683925E+1          -5.9359252702E+1         
07/02/16                  13:48:42.2                1.8353382246E+2           3.8250000000E+1           7.8533446914E+2           4.2828168511E+4           -1.1956631743E+1          -6.0176115215E+1         
