DATE                      TIME                      DAYS_SINCE_JAN            H2O                       D_1816                    D_DH                     
11/02/15                  15:54:02.9                3.0566253382E+2           1.6676701082E+4           1.1727086897E+1           -1.0618549103E+2         
11/02/15                  15:54:08.2                3.0566259578E+2           1.6655404860E+4           1.2861555384E+1           -1.0626877008E+2         
11/02/15                  15:54:15.5                3.0566267945E+2           1.6635067244E+4           1.3521610998E+1           -1.0551539771E+2         
11/02/15                  15:54:20.7                3.0566274032E+2           1.6616376110E+4           1.5486687046E+1           -1.0637570129E+2         
11/02/15                  15:54:26.0                3.0566280205E+2           1.6612879847E+4           1.6839652454E+1           -1.0753674937E+2         
11/02/15                  15:54:31.4                3.0566286365E+2           1.6588744639E+4           1.6923062639E+1           -1.0783047728E+2         
11/02/15                  15:54:36.6                3.0566292475E+2           1.6591698044E+4           1.7955351277E+1           -1.0468105066E+2         
11/02/15                  15:54:42.0                3.0566298713E+2           1.6561142383E+4           1.8889955997E+1           -1.0733152221E+2         
11/02/15                  15:54:47.3                3.0566304856E+2           1.6563319654E+4           1.9609253997E+1           -1.0852629061E+2         
11/02/15                  15:54:52.7                3.0566310996E+2           1.6541538563E+4           2.0800105780E+1           -1.0567703890E+2         
11/02/15                  15:54:58.0                3.0566317167E+2           1.6531346017E+4           2.2294049833E+1           -1.0668093149E+2         
11/02/15                  15:55:03.3                3.0566323354E+2           1.6528850715E+4           2.2674993707E+1           -1.0594177450E+2         
11/02/15                  15:55:08.6                3.0566329436E+2           1.6521023758E+4           2.3327084572E+1           -1.0548530570E+2         
11/02/15                  15:55:15.7                3.0566337661E+2           1.6530962544E+4           2.2464996359E+1           -1.0639331752E+2         
11/02/15                  15:55:20.9                3.0566343737E+2           1.6509790167E+4           2.2955499811E+1           -1.0672210607E+2         
11/02/15                  15:55:26.2                3.0566349826E+2           1.6507198497E+4           2.3928044979E+1           -1.0685645286E+2         
11/02/15                  15:55:31.4                3.0566355892E+2           1.6489039592E+4           2.4078197046E+1           -1.0696648764E+2         
