DATE                      TIME                      DAYS_SINCE_JAN            DAS_TEMP_(C)              BASELINE                  H2O                       D_1816                    D_DH                     
07/06/16                  11:30:13.3                1.8743765480E+2           3.7665441180E+1           7.8623684314E+2           3.7250995117E+4           -9.5339308184E+0          -5.5887017277E+1         
07/06/16                  11:30:33.0                1.8743788272E+2           3.7687500000E+1           7.8657933930E+2           3.7436345257E+4           -8.2479828054E+0          -5.5259999749E+1         
07/06/16                  11:30:59.6                1.8743819003E+2           3.7687500000E+1           7.8670043050E+2           3.7388615526E+4           -9.5444243757E+0          -5.6723960216E+1         
07/06/16                  11:31:19.9                1.8743842575E+2           3.7750000000E+1           7.8627580871E+2           3.7334928333E+4           -1.0428343005E+1          -5.5723113689E+1         
07/06/16                  11:31:40.5                1.8743866401E+2           3.7798295450E+1           7.8641938869E+2           3.7434089217E+4           -1.2053037389E+1          -6.2263068560E+1         
07/06/16                  11:32:00.9                1.8743889946E+2           3.7812500000E+1           7.8789241637E+2           3.7661486890E+4           -8.5216425217E+0          -5.5630828192E+1         
07/06/16                  11:32:28.5                1.8743921962E+2           3.7830729170E+1           7.8611248523E+2           3.7965755231E+4           -8.1730949523E+0          -5.5383225492E+1         
07/06/16                  11:32:48.1                1.8743944621E+2           3.7840625000E+1           7.8626473485E+2           3.7850743671E+4           -9.2447008404E+0          -5.3733270581E+1         
07/06/16                  11:33:08.8                1.8743968524E+2           3.7875000000E+1           7.8688721514E+2           3.7275590557E+4           -8.3521551933E+0          -5.5422091910E+1         
07/06/16                  11:33:25.2                1.8743987607E+2           3.7868534480E+1           7.9778402822E+2           3.7952894783E+4           -3.6160251991E+0          -9.7980440317E+0         
07/06/16                  11:34:04.1                1.8744032588E+2           3.7875000000E+1           7.8100091630E+2           4.7696402798E+4           -1.1581365005E+1          -4.8054183180E+1         
