DATE                      TIME                      DAYS_SINCE_JAN            H2O                       D_1816                    D_DH                     
08/12/15                  15:47:26.1                2.2361627486E+2           1.8061572718E+4           -1.6076446158E+1          -1.2691019982E+2         
08/12/15                  15:47:31.4                2.2361633585E+2           1.8060834989E+4           -1.6483631071E+1          -1.2632894717E+2         
08/12/15                  15:47:36.6                2.2361639677E+2           1.8039511900E+4           -1.6024503195E+1          -1.2567270645E+2         
08/12/15                  15:47:41.9                2.2361645734E+2           1.8058094963E+4           -1.6151391504E+1          -1.2595464264E+2         
08/12/15                  15:47:47.1                2.2361651812E+2           1.8056481910E+4           -1.6002979379E+1          -1.2784945568E+2         
08/12/15                  15:47:52.5                2.2361658038E+2           1.8048062131E+4           -1.6027993027E+1          -1.2723698919E+2         
08/12/15                  15:47:57.8                2.2361664228E+2           1.8055577807E+4           -1.6110602669E+1          -1.2586350111E+2         
08/12/15                  15:48:03.2                2.2361670401E+2           1.8054507923E+4           -1.6216337425E+1          -1.2716603898E+2         
08/12/15                  15:48:08.5                2.2361676516E+2           1.8045052983E+4           -1.6066373467E+1          -1.2661058444E+2         
08/12/15                  15:48:13.8                2.2361682677E+2           1.8049138722E+4           -1.6140257212E+1          -1.2503683980E+2         
08/12/15                  15:48:19.1                2.2361688794E+2           1.8042865670E+4           -1.6180903484E+1          -1.2717455976E+2         
08/12/15                  15:48:26.2                2.2361697037E+2           1.8038438471E+4           -1.6169977912E+1          -1.2623662072E+2         
08/12/15                  15:48:31.5                2.2361703177E+2           1.8029803152E+4           -1.6040626524E+1          -1.2646097885E+2         
08/12/15                  15:48:36.8                2.2361709301E+2           1.8036373194E+4           -1.6100709165E+1          -1.2578578468E+2         
08/12/15                  15:48:42.1                2.2361715400E+2           1.8051745021E+4           -1.5888969273E+1          -1.2652609560E+2         
08/12/15                  15:48:47.4                2.2361721546E+2           1.8065379929E+4           -1.6033763435E+1          -1.2642233798E+2         
08/12/15                  15:48:52.7                2.2361727727E+2           1.8053281352E+4           -1.6034793050E+1          -1.2545282410E+2         
08/12/15                  15:48:57.9                2.2361733792E+2           1.8048216144E+4           -1.6217421337E+1          -1.2640228486E+2         
08/12/15                  15:49:03.2                2.2361739861E+2           1.8030371277E+4           -1.5983077694E+1          -1.2668466184E+2         
08/12/15                  15:49:08.5                2.2361745968E+2           1.8041132253E+4           -1.6144742316E+1          -1.2598901822E+2         
08/12/15                  15:49:13.8                2.2361752138E+2           1.8058806285E+4           -1.6341374813E+1          -1.2543597279E+2         
08/12/15                  15:49:19.1                2.2361758281E+2           1.8026294069E+4           -1.5932261264E+1          -1.2671311696E+2         
08/12/15                  15:49:26.2                2.2361766507E+2           1.8041667963E+4           -1.5960161011E+1          -1.2676287994E+2         
08/12/15                  15:49:31.4                2.2361772560E+2           1.8056879741E+4           -1.5899381008E+1          -1.2656481645E+2         
08/12/15                  15:49:36.6                2.2361778585E+2           1.8051566179E+4           -1.6125746877E+1          -1.2525087138E+2         
08/12/15                  15:49:41.9                2.2361784708E+2           1.8034311061E+4           -1.6103731775E+1          -1.2725938001E+2         
08/12/15                  15:49:47.3                2.2361790862E+2           1.8038100788E+4           -1.5907961066E+1          -1.2554487431E+2         
08/12/15                  15:49:52.6                2.2361797032E+2           1.8031331905E+4           -1.6165812489E+1          -1.2639064513E+2         
08/12/15                  15:49:57.9                2.2361803151E+2           1.8031963701E+4           -1.6305735955E+1          -1.2578647311E+2         
08/12/15                  15:50:03.2                2.2361809293E+2           1.8039222792E+4           -1.6252389959E+1          -1.2652815188E+2         
08/12/15                  15:50:08.4                2.2361815342E+2           1.8035290737E+4           -1.6235127431E+1          -1.2633684253E+2         
08/12/15                  15:50:13.7                2.2361821422E+2           1.8029196097E+4           -1.5939433666E+1          -1.2724112952E+2         
08/12/15                  15:50:19.0                2.2361827621E+2           1.8030170669E+4           -1.6038165352E+1          -1.2608695410E+2         
08/12/15                  15:50:26.2                2.2361835898E+2           1.8026542695E+4           -1.6325792923E+1          -1.2600736901E+2         
08/12/15                  15:50:31.5                2.2361842100E+2           1.8042844660E+4           -1.6232597766E+1          -1.2677638966E+2         
08/12/15                  15:50:36.9                2.2361848343E+2           1.8032095880E+4           -1.6151314012E+1          -1.2631015876E+2         
08/12/15                  15:50:42.3                2.2361854551E+2           1.8038062112E+4           -1.6528227813E+1          -1.2632205615E+2         
08/12/15                  15:50:47.6                2.2361860655E+2           1.8028762205E+4           -1.6317257113E+1          -1.2602092206E+2         
08/12/15                  15:50:52.9                2.2361866798E+2           1.8019614769E+4           -1.6062408438E+1          -1.2659210205E+2         
08/12/15                  15:50:58.2                2.2361872960E+2           1.8024060165E+4           -1.6170093646E+1          -1.2601630333E+2         
08/12/15                  15:51:03.5                2.2361879103E+2           1.8023335400E+4           -1.6144153087E+1          -1.2540806851E+2         
