DATE                      TIME                      DAYS_SINCE_JAN            DAS_TEMP_(C)              BASELINE                  H2O                       D_1816                    D_DH                     
07/07/16                  10:01:40.7                1.8837616609E+2           3.3367187500E+1           7.8573831165E+2           3.1659669492E+4           -8.4626870009E+0          -6.2687255370E+1         
07/07/16                  10:01:48.5                1.8837625661E+2           3.3375000000E+1           7.8553746484E+2           3.2591571088E+4           -8.6994831406E+0          -6.1004866953E+1         
07/07/16                  10:01:56.5                1.8837634923E+2           3.3375000000E+1           7.8502840357E+2           3.3074736141E+4           -8.9232204548E+0          -6.0492188663E+1         
07/07/16                  10:02:05.2                1.8837644917E+2           3.3375000000E+1           7.8574545567E+2           3.3293263132E+4           -8.6135534137E+0          -6.1281315736E+1         
07/07/16                  10:02:15.5                1.8837656887E+2           3.3381944440E+1           7.8553079095E+2           3.3457337899E+4           -9.0097838878E+0          -6.1127959798E+1         
07/07/16                  10:02:25.3                1.8837668197E+2           3.3388888890E+1           7.8542363630E+2           3.3336725592E+4           -9.2376908832E+0          -6.0840981894E+1         
07/07/16                  10:02:36.4                1.8837681089E+2           3.3395833330E+1           7.8597118376E+2           3.3116071467E+4           -8.8318658233E+0          -6.1998555317E+1         
07/07/16                  10:02:47.6                1.8837693988E+2           3.3375000000E+1           7.8597592800E+2           3.3092259169E+4           -9.3106612255E+0          -6.2104604820E+1         
07/07/16                  10:02:58.4                1.8837706559E+2           3.3375000000E+1           7.8544885651E+2           3.3253666445E+4           -9.4319367319E+0          -6.1073921096E+1         
07/07/16                  10:03:08.5                1.8837718243E+2           3.3381944440E+1           7.8551152591E+2           3.3314512740E+4           -9.4191543465E+0          -6.1627342225E+1         
07/07/16                  10:03:17.4                1.8837728499E+2           3.3385416670E+1           7.8570947314E+2           3.3347599619E+4           -8.7590929115E+0          -6.1731021562E+1         
07/07/16                  10:03:25.9                1.8837738340E+2           3.3414062500E+1           7.8564187665E+2           3.3450328183E+4           -9.2489318952E+0          -6.1624930172E+1         
07/07/16                  10:03:34.6                1.8837748397E+2           3.3423611110E+1           7.8492428809E+2           3.3489443805E+4           -9.1352624596E+0          -6.0148838323E+1         
07/07/16                  10:03:43.8                1.8837759089E+2           3.3406250000E+1           7.8528016397E+2           3.3231281359E+4           -8.9347999961E+0          -6.1160525203E+1         
