DATE                      TIME                      DAYS_SINCE_JAN            H2O                       D_1816                    D_DH                     
08/14/15                  18:50:27.3                2.2574337215E+2           2.0430450559E+4           2.6608958803E+0           -7.2807350359E+1         
08/14/15                  18:50:32.9                2.2574343735E+2           2.0430669101E+4           3.0268791347E+0           -7.2994593514E+1         
08/14/15                  18:50:40.5                2.2574352478E+2           2.0427762269E+4           2.6939429856E+0           -7.5292667467E+1         
08/14/15                  18:50:46.2                2.2574359037E+2           2.0439164440E+4           2.7129853002E+0           -7.7018274868E+1         
08/14/15                  18:50:51.8                2.2574365521E+2           2.0434785553E+4           2.3349531559E+0           -7.6319728778E+1         
08/14/15                  18:50:57.3                2.2574371934E+2           2.0435202327E+4           3.3647926567E+0           -7.6454761486E+1         
08/14/15                  18:51:02.8                2.2574378281E+2           2.0438597594E+4           2.4198503559E+0           -7.7359096907E+1         
08/14/15                  18:51:08.3                2.2574384621E+2           2.0427194717E+4           2.6627732185E+0           -7.8340588930E+1         
08/14/15                  18:51:13.7                2.2574390954E+2           2.0417820860E+4           3.1569901890E+0           -7.8970644060E+1         
08/14/15                  18:51:19.4                2.2574397458E+2           2.0408215915E+4           2.9890848203E+0           -7.8675798171E+1         
08/14/15                  18:51:25.0                2.2574404020E+2           2.0379659164E+4           3.0449379496E+0           -7.9760619770E+1         
08/14/15                  18:51:30.7                2.2574410613E+2           2.0381563700E+4           3.1575837098E+0           -8.0056281874E+1         
08/14/15                  18:51:36.4                2.2574417235E+2           2.0402478667E+4           1.2959891827E+0           -8.0519494123E+1         
08/14/15                  18:51:43.9                2.2574425890E+2           2.0397633092E+4           1.1782950395E+0           -8.1728006954E+1         
08/14/15                  18:51:49.4                2.2574432237E+2           2.0376708290E+4           1.9679470418E+0           -8.2799068520E+1         
08/14/15                  18:51:54.9                2.2574438653E+2           2.0362886668E+4           1.4857791031E+0           -8.2947691106E+1         
08/14/15                  18:52:00.5                2.2574445087E+2           2.0353695217E+4           1.8933737644E+0           -8.3980633990E+1         
08/14/15                  18:52:06.0                2.2574451423E+2           2.0342790761E+4           2.0540943088E+0           -8.3399737930E+1         
08/14/15                  18:52:11.4                2.2574457659E+2           2.0336450455E+4           1.7602408351E+0           -8.3485410904E+1         
08/14/15                  18:52:16.8                2.2574463893E+2           2.0325285900E+4           1.8233000889E+0           -8.4742263798E+1         
08/14/15                  18:52:22.3                2.2574470370E+2           2.0310308001E+4           1.7450013263E+0           -8.4735018954E+1         
08/14/15                  18:52:27.9                2.2574476774E+2           2.0306952887E+4           1.7863771688E+0           -8.3792933263E+1         
08/14/15                  18:52:33.5                2.2574483273E+2           2.0310215699E+4           1.7667330422E+0           -8.6495615991E+1         
08/14/15                  18:52:39.2                2.2574489930E+2           2.0309602890E+4           1.4578990811E+0           -8.5187682625E+1         
08/14/15                  18:52:46.7                2.2574498602E+2           2.0309154294E+4           6.7895469411E-1           -8.8588827066E+1         
08/14/15                  18:52:52.1                2.2574504830E+2           2.0272257834E+4           1.1302807540E+0           -8.7366608335E+1         
08/14/15                  18:52:57.6                2.2574511154E+2           2.0268043884E+4           9.7235228307E-1           -8.9262854262E+1         
08/14/15                  18:53:03.2                2.2574517694E+2           2.0235230294E+4           1.4992091743E+0           -8.8016491631E+1         
08/14/15                  18:53:08.8                2.2574524090E+2           2.0229871317E+4           1.0373020555E+0           -8.8867589634E+1         
08/14/15                  18:53:14.2                2.2574530335E+2           2.0228768120E+4           1.2548330005E+0           -8.8964560989E+1         
08/14/15                  18:53:19.5                2.2574536480E+2           2.0220909498E+4           9.7683555822E-1           -8.9806869147E+1         
08/14/15                  18:53:25.0                2.2574542829E+2           2.0215852636E+4           1.0499130638E+0           -8.8520944633E+1         
08/14/15                  18:53:30.5                2.2574549263E+2           2.0198306660E+4           7.4175666335E-1           -8.7861360766E+1         
08/14/15                  18:53:36.1                2.2574555754E+2           2.0193527646E+4           7.2097795459E-1           -8.9753942517E+1         
08/14/15                  18:53:41.7                2.2574562188E+2           2.0192862103E+4           1.0151699835E+0           -8.7620444369E+1         
08/14/15                  18:53:49.1                2.2574570746E+2           2.0214419498E+4           1.6362013803E-1           -9.0620683678E+1         
08/14/15                  18:53:54.6                2.2574577116E+2           2.0204683207E+4           -4.3274873829E-1          -8.9975976517E+1         
08/14/15                  18:54:00.2                2.2574583570E+2           2.0187557346E+4           -3.1483586649E-1          -8.9347913434E+1         
08/14/15                  18:54:05.8                2.2574590058E+2           2.0191603046E+4           -2.3794283039E-2          -9.1198985810E+1         
08/14/15                  18:54:11.3                2.2574596505E+2           2.0173385102E+4           6.1301547293E-2           -9.0363234326E+1         
08/14/15                  18:54:16.8                2.2574602871E+2           2.0167893640E+4           -1.7852598653E-1          -9.0714317298E+1         
08/14/15                  18:54:22.3                2.2574609147E+2           2.0156958955E+4           -1.4067602072E-2          -9.1857849650E+1         
08/14/15                  18:54:27.6                2.2574615358E+2           2.0118140787E+4           6.4309863281E-3           -9.1591331603E+1         
08/14/15                  18:54:33.0                2.2574621627E+2           2.0127595567E+4           -5.8331225972E-1          -8.9754594323E+1         
08/14/15                  18:54:38.5                2.2574627956E+2           2.0121676701E+4           -3.0627264957E-1          -9.0258209458E+1         
08/14/15                  18:54:44.1                2.2574634379E+2           2.0112852598E+4           -2.7823618400E-1          -9.0109088989E+1         
08/14/15                  18:54:51.6                2.2574643163E+2           2.0152097580E+4           -1.4458170475E+0          -9.2949313502E+1         
08/14/15                  18:54:57.2                2.2574649564E+2           2.0125476970E+4           -1.5934325557E+0          -9.4374156546E+1         
08/14/15                  18:55:02.6                2.2574655898E+2           2.0111215638E+4           -1.3095078437E+0          -9.3097830022E+1         
08/14/15                  18:55:08.1                2.2574662184E+2           2.0095269833E+4           -1.3007146713E+0          -9.1685307294E+1         
08/14/15                  18:55:13.6                2.2574668631E+2           2.0084572245E+4           -1.4848176969E+0          -9.1382681995E+1         
08/14/15                  18:55:19.2                2.2574675063E+2           2.0104938280E+4           -1.8300387626E+0          -9.1299193234E+1         
08/14/15                  18:55:24.8                2.2574681543E+2           2.0092315986E+4           -2.0145601713E+0          -9.3140730065E+1         
08/14/15                  18:55:30.4                2.2574687974E+2           2.0074469136E+4           -1.8579237977E+0          -9.1552170684E+1         
08/14/15                  18:55:35.8                2.2574694302E+2           2.0073117628E+4           -2.1097973545E+0          -9.3253247920E+1         
08/14/15                  18:55:41.4                2.2574700749E+2           2.0074035277E+4           -1.9534926197E+0          -9.1952036178E+1         
08/14/15                  18:55:46.8                2.2574706954E+2           2.0067881828E+4           -2.7824296250E+0          -9.1838787247E+1         
08/14/15                  18:55:54.0                2.2574715379E+2           2.0084653457E+4           -2.9173051665E+0          -9.3965284460E+1         
08/14/15                  18:55:59.6                2.2574721841E+2           2.0080800473E+4           -3.2858751420E+0          -9.3645396717E+1         
08/14/15                  18:56:05.2                2.2574728302E+2           2.0079585866E+4           -3.2757791246E+0          -9.4572695896E+1         
08/14/15                  18:56:10.8                2.2574734782E+2           2.0068233271E+4           -3.5498815335E+0          -9.3574784384E+1         
08/14/15                  18:56:16.4                2.2574741219E+2           2.0069751951E+4           -3.2774753506E+0          -9.4143407477E+1         
08/14/15                  18:56:21.8                2.2574747529E+2           2.0068804874E+4           -3.8635988053E+0          -9.4456310121E+1         
08/14/15                  18:56:27.3                2.2574753836E+2           2.0071474450E+4           -3.8647025233E+0          -9.4828319851E+1         
08/14/15                  18:56:32.8                2.2574760210E+2           2.0056935275E+4           -3.9624965014E+0          -9.4949618091E+1         
08/14/15                  18:56:38.3                2.2574766662E+2           2.0043798995E+4           -3.9307873430E+0          -9.3781784059E+1         
08/14/15                  18:56:43.8                2.2574772999E+2           2.0033264933E+4           -4.5345423449E+0          -9.3571350375E+1         
08/14/15                  18:56:49.4                2.2574779513E+2           2.0047341465E+4           -5.0561945418E+0          -9.3041738804E+1         
08/14/15                  18:56:56.8                2.2574787990E+2           2.0041750206E+4           -5.3120975103E+0          -9.5410374686E+1         
08/14/15                  18:57:02.3                2.2574794397E+2           2.0036893975E+4           -4.8869534581E+0          -9.6416191601E+1         
08/14/15                  18:57:07.8                2.2574800788E+2           2.0045981736E+4           -5.4746048218E+0          -9.5191860232E+1         
08/14/15                  18:57:13.3                2.2574807164E+2           2.0047249599E+4           -5.7577734183E+0          -9.5095483649E+1         
08/14/15                  18:57:18.8                2.2574813530E+2           2.0055944161E+4           -5.7218093291E+0          -9.5162165847E+1         
08/14/15                  18:57:24.5                2.2574820076E+2           2.0057815720E+4           -6.0150815206E+0          -9.6145896035E+1         
08/14/15                  18:57:30.0                2.2574826437E+2           2.0054795622E+4           -6.2456063853E+0          -9.5937330653E+1         
08/14/15                  18:57:35.6                2.2574832945E+2           2.0040388854E+4           -6.0851104625E+0          -9.6257877600E+1         
08/14/15                  18:57:41.1                2.2574839316E+2           2.0041865704E+4           -6.3633343840E+0          -9.6331170800E+1         
08/14/15                  18:57:46.7                2.2574845761E+2           2.0033618862E+4           -6.6477812805E+0          -9.4501850841E+1         
08/14/15                  18:57:52.3                2.2574852268E+2           2.0050338905E+4           -7.0961274246E+0          -9.5937333410E+1         
08/14/15                  18:57:59.7                2.2574860878E+2           2.0047897501E+4           -7.3958466641E+0          -9.8092717768E+1         
08/14/15                  18:58:05.4                2.2574867367E+2           2.0029638463E+4           -6.8330446169E+0          -9.7200027910E+1         
08/14/15                  18:58:10.9                2.2574873778E+2           2.0036150600E+4           -6.8985178123E+0          -9.8680383240E+1         
08/14/15                  18:58:16.5                2.2574880246E+2           2.0024631239E+4           -7.3909690139E+0          -9.8060371433E+1         
08/14/15                  18:58:22.1                2.2574886693E+2           2.0018450119E+4           -7.0727204593E+0          -9.7819625110E+1         
08/14/15                  18:58:27.6                2.2574893168E+2           2.0014368404E+4           -7.7993754849E+0          -9.8364251201E+1         
08/14/15                  18:58:33.0                2.2574899395E+2           2.0011523668E+4           -8.2111282843E+0          -9.6974757859E+1         
08/14/15                  18:58:38.5                2.2574905760E+2           2.0010653167E+4           -8.4172279082E+0          -9.6842983012E+1         
08/14/15                  18:58:44.0                2.2574912040E+2           2.0008983941E+4           -8.4068344451E+0          -9.8358081191E+1         
08/14/15                  18:58:49.5                2.2574918475E+2           2.0003927163E+4           -8.3944797661E+0          -9.8384377584E+1         
08/14/15                  18:58:55.0                2.2574924816E+2           2.0000409514E+4           -8.7231170520E+0          -9.8647528688E+1         
08/14/15                  18:59:02.3                2.2574933294E+2           2.0031804855E+4           -9.0321692963E+0          -9.9075672084E+1         
08/14/15                  18:59:07.7                2.2574939583E+2           2.0031281174E+4           -9.3282567532E+0          -9.8361132265E+1         
08/14/15                  18:59:13.2                2.2574945927E+2           2.0020602859E+4           -8.7305011444E+0          -1.0041951966E+2         
08/14/15                  18:59:18.7                2.2574952265E+2           2.0032450996E+4           -9.3791872494E+0          -1.0154859264E+2         
08/14/15                  18:59:24.2                2.2574958648E+2           2.0033964456E+4           -9.2824482094E+0          -1.0014302221E+2         
08/14/15                  18:59:29.8                2.2574965087E+2           2.0001532696E+4           -9.4008478142E+0          -1.0061260999E+2         
08/14/15                  18:59:35.3                2.2574971427E+2           1.9991212642E+4           -9.5791944445E+0          -1.0122979307E+2         
08/14/15                  18:59:40.8                2.2574977860E+2           1.9999199108E+4           -9.6590519083E+0          -9.9666349844E+1         
08/14/15                  18:59:46.3                2.2574984222E+2           2.0003388981E+4           -9.6395879315E+0          -1.0032138039E+2         
08/14/15                  18:59:51.8                2.2574990522E+2           2.0011411427E+4           -9.4569389632E+0          -1.0202403483E+2         
08/14/15                  18:59:57.3                2.2574996878E+2           1.9998439489E+4           -9.7131404745E+0          -1.0136268935E+2         
08/14/15                  19:00:04.6                2.2575005359E+2           2.0005103086E+4           -1.0510730959E+1          -1.0201944316E+2         
08/14/15                  19:00:10.1                2.2575011713E+2           1.9987103033E+4           -1.0736162780E+1          -1.0077372910E+2         
08/14/15                  19:00:15.6                2.2575018114E+2           1.9972147286E+4           -1.0230776685E+1          -1.0153606799E+2         
08/14/15                  19:00:21.1                2.2575024514E+2           1.9974207604E+4           -1.0531293591E+1          -1.0179912653E+2         
08/14/15                  19:00:26.6                2.2575030889E+2           1.9968573139E+4           -1.0701361175E+1          -1.0060081936E+2         
08/14/15                  19:00:32.2                2.2575037337E+2           1.9972147388E+4           -1.0379428267E+1          -1.0278903981E+2         
08/14/15                  19:00:37.7                2.2575043663E+2           1.9984677201E+4           -1.1004587253E+1          -1.0275110930E+2         
08/14/15                  19:00:43.2                2.2575050038E+2           1.9978210065E+4           -1.0970687014E+1          -1.0260325661E+2         
08/14/15                  19:00:48.7                2.2575056385E+2           1.9966632052E+4           -1.1010334917E+1          -1.0097288125E+2         
08/14/15                  19:00:54.3                2.2575062859E+2           1.9959312143E+4           -1.0847189156E+1          -1.0446868520E+2         
08/14/15                  19:00:59.9                2.2575069374E+2           1.9948497783E+4           -1.1120752405E+1          -1.0185886689E+2         
08/14/15                  19:01:07.5                2.2575078173E+2           1.9948328115E+4           -1.1308026092E+1          -1.0254677528E+2         
08/14/15                  19:01:13.0                2.2575084565E+2           1.9950393258E+4           -1.1351702874E+1          -1.0293812856E+2         
08/14/15                  19:01:18.5                2.2575090864E+2           1.9934704004E+4           -1.1800365359E+1          -1.0402330010E+2         
08/14/15                  19:01:24.0                2.2575097278E+2           1.9921383533E+4           -1.1334319916E+1          -1.0358632369E+2         
08/14/15                  19:01:29.6                2.2575103740E+2           1.9924243572E+4           -1.1019031235E+1          -1.0538893417E+2         
08/14/15                  19:01:35.1                2.2575110168E+2           1.9940924482E+4           -1.1872034270E+1          -1.0461659081E+2         
08/14/15                  19:01:40.7                2.2575116570E+2           1.9939198554E+4           -1.2013513782E+1          -1.0441868967E+2         
