DATE                      TIME                      DAYS_SINCE_JAN            DAS_TEMP_(C)              BASELINE                  H2O                       D_1816                    D_DH                     
07/11/16                  09:46:20.0                1.9236550947E+2           3.6007812500E+1           7.8631180694E+2           3.5877083479E+4           -9.3244081212E-1          -4.7691462309E+1         
07/11/16                  09:46:30.7                1.9236563357E+2           3.6051136360E+1           7.8670474122E+2           3.6180293155E+4           -1.1811366226E+0          -4.8385867046E+1         
07/11/16                  09:46:44.2                1.9236579029E+2           3.6104166670E+1           7.8585043709E+2           3.6500664715E+4           -1.3531793507E+0          -4.7050560537E+1         
07/11/16                  09:47:01.6                1.9236599084E+2           3.6122159090E+1           7.8518480324E+2           3.6577896846E+4           -1.7148557077E+0          -4.8450408767E+1         
07/11/16                  09:47:17.4                1.9236617428E+2           3.6138888890E+1           7.8639238923E+2           3.6070181848E+4           -7.4705991236E-1          -5.0156061353E+1         
07/11/16                  09:47:27.8                1.9236629435E+2           3.6187500000E+1           7.8589165372E+2           3.6078633881E+4           -1.6470816084E+0          -5.0096739334E+1         
07/11/16                  09:47:40.5                1.9236644199E+2           3.6187500000E+1           7.8570164865E+2           3.5876177525E+4           -1.4237806599E+0          -5.0710216549E+1         
07/11/16                  09:47:52.9                1.9236658476E+2           3.6221590910E+1           7.8531401143E+2           3.6027298950E+4           -1.7400694590E+0          -4.9940918123E+1         
07/11/16                  09:48:06.1                1.9236673830E+2           3.6226562500E+1           7.8517485436E+2           3.5843479708E+4           -3.9834773126E+0          -5.2062268772E+1         
07/11/16                  09:48:20.5                1.9236690409E+2           3.6187500000E+1           7.8556926164E+2           3.5744508044E+4           -3.8932200683E+0          -5.0640933158E+1         
07/11/16                  09:48:32.1                1.9236703920E+2           3.6187500000E+1           7.8467301571E+2           3.6098450003E+4           -2.0037764083E+0          -4.9873521147E+1         
07/11/16                  09:48:45.5                1.9236719389E+2           3.6152777780E+1           7.8545377071E+2           3.5894638216E+4           -2.4185961016E+0          -5.0952362566E+1         
07/11/16                  09:48:57.3                1.9236733017E+2           3.6130681820E+1           7.8512194776E+2           3.5832506933E+4           -2.2496535393E+0          -4.9342817607E+1         
07/11/16                  09:49:13.7                1.9236752039E+2           3.6066406250E+1           7.8442665436E+2           3.5436874861E+4           -2.3412981357E+0          -5.0041709020E+1         
07/11/16                  09:49:26.8                1.9236767152E+2           3.6024038460E+1           7.8549514743E+2           3.5370466064E+4           -3.4934460896E+0          -5.1565733675E+1         
07/11/16                  09:49:40.0                1.9236782446E+2           3.5995535710E+1           7.8484055418E+2           3.5872785747E+4           -2.0654198085E+0          -4.8258184608E+1         
07/11/16                  09:49:54.9                1.9236799656E+2           3.5929687500E+1           7.8364891424E+2           3.6449680153E+4           -2.9895234215E+0          -4.8006375390E+1         
07/11/16                  09:50:12.0                1.9236819507E+2           3.5830357140E+1           7.8501755400E+2           3.6256257040E+4           -3.9432135389E+0          -5.0126826985E+1         
07/11/16                  09:50:27.7                1.9236837683E+2           3.5725000000E+1           7.8475607918E+2           3.5845015483E+4           -2.5361052708E+0          -4.9770995363E+1         
07/11/16                  09:50:41.6                1.9236853802E+2           3.5674107140E+1           7.8349715854E+2           3.5897776921E+4           -3.6971717014E+0          -4.8379472285E+1         
07/11/16                  09:50:54.9                1.9236869170E+2           3.5607142860E+1           7.8431594140E+2           3.5703463142E+4           -2.5652727596E+0          -4.9510228382E+1         
07/11/16                  09:51:09.3                1.9236885819E+2           3.5567708330E+1           7.8499267302E+2           3.5450942246E+4           -2.6150077763E+0          -4.9518003066E+1         
07/11/16                  09:51:21.1                1.9236899535E+2           3.5527777780E+1           7.8390679910E+2           3.5637379043E+4           -3.9285207293E+0          -4.9428147454E+1         
07/11/16                  09:51:33.8                1.9236914176E+2           3.5500000000E+1           7.8450748936E+2           3.5580978945E+4           -4.2386319641E+0          -4.9393090321E+1         
07/11/16                  09:51:47.8                1.9236930378E+2           3.5442307690E+1           7.8413169487E+2           3.5943978814E+4           -3.9524191229E+0          -4.8965625623E+1         
07/11/16                  09:51:59.5                1.9236943880E+2           3.5421875000E+1           7.8416977582E+2           3.5788004464E+4           -4.5147731368E+0          -4.9787893878E+1         
07/11/16                  09:52:13.1                1.9236959661E+2           3.5375000000E+1           7.8379558336E+2           3.5527621289E+4           -4.4854143583E+0          -4.9178456911E+1         
07/11/16                  09:52:25.0                1.9236973456E+2           3.5323863640E+1           7.8422786238E+2           3.5764808348E+4           -4.6646942737E+0          -4.9596898969E+1         
07/11/16                  09:52:38.1                1.9236988589E+2           3.5312500000E+1           7.8524356155E+2           3.5778634358E+4           -5.2776627407E+0          -5.0659121287E+1         
07/11/16                  09:52:51.3                1.9237003906E+2           3.5276041670E+1           7.8434134727E+2           3.6081742183E+4           -4.6006637471E+0          -4.8579419294E+1         
07/11/16                  09:53:03.7                1.9237018177E+2           3.5255208330E+1           7.8371695259E+2           3.6007449823E+4           -4.6002235745E+0          -4.9428121914E+1         
07/11/16                  09:53:16.5                1.9237033038E+2           3.5250000000E+1           7.8412715977E+2           3.6001555631E+4           -5.2840787693E+0          -4.9453345258E+1         
07/11/16                  09:53:39.5                1.9237059617E+2           3.5216145830E+1           7.8420638056E+2           3.6407528390E+4           -5.8976983684E+0          -4.9454059862E+1         
07/11/16                  09:54:01.3                1.9237084866E+2           3.5187500000E+1           7.8442200963E+2           3.6109090861E+4           -3.4418938450E+0          -4.8971909462E+1         
07/11/16                  09:54:20.4                1.9237106991E+2           3.5129166670E+1           7.8473962628E+2           3.5763917660E+4           -6.2177003158E+0          -5.0563647425E+1         
07/11/16                  09:54:38.7                1.9237128167E+2           3.5093750000E+1           7.8360915457E+2           3.5977341724E+4           -6.1739227779E+0          -4.9583072618E+1         
07/11/16                  09:54:55.0                1.9237147020E+2           3.5075000000E+1           7.8422719835E+2           3.5994730944E+4           -6.2354744038E+0          -4.9767076814E+1         
07/11/16                  09:55:08.4                1.9237162522E+2           3.5062500000E+1           7.8397236879E+2           3.5454960185E+4           -5.2825069370E+0          -5.0421868762E+1         
07/11/16                  09:55:20.2                1.9237176185E+2           3.5009615380E+1           7.8440262901E+2           3.5058329876E+4           -6.4713010010E+0          -5.1338352501E+1         
07/11/16                  09:55:33.2                1.9237191228E+2           3.4992187500E+1           7.8492334809E+2           3.5083431782E+4           -6.7549985961E+0          -5.1433109995E+1         
07/11/16                  09:55:47.8                1.9237208217E+2           3.4974264710E+1           7.8418749713E+2           3.5278552217E+4           -6.1708931718E+0          -5.1106526390E+1         
07/11/16                  09:56:01.5                1.9237223975E+2           3.4953125000E+1           7.8427934759E+2           3.5182219228E+4           -6.5983363368E+0          -5.0714350514E+1         
07/11/16                  09:56:16.2                1.9237241080E+2           3.4937500000E+1           7.8490870497E+2           3.5036426736E+4           -6.3393752224E+0          -5.2185249239E+1         
07/11/16                  09:56:31.2                1.9237258416E+2           3.4900000000E+1           7.8466899181E+2           3.4898167770E+4           -6.3799495670E+0          -5.2018814040E+1         
07/11/16                  09:56:45.9                1.9237275432E+2           3.4875000000E+1           7.8495656356E+2           3.4837126137E+4           -6.7941503411E+0          -5.1667168689E+1         
07/11/16                  09:56:59.6                1.9237291317E+2           3.4812500000E+1           7.8423515113E+2           3.5101397902E+4           -7.9000516504E+0          -5.1568663413E+1         
07/11/16                  09:57:18.2                1.9237312825E+2           3.4775000000E+1           7.8410954155E+2           3.5048326558E+4           -7.4093331950E+0          -5.1589129971E+1         
07/11/16                  09:57:31.4                1.9237328019E+2           3.4750000000E+1           7.8481433547E+2           3.5026996513E+4           -7.7638103399E+0          -5.2450792426E+1         
07/11/16                  09:57:44.7                1.9237343511E+2           3.4691964290E+1           7.8458527998E+2           3.5058609706E+4           -6.7110750014E+0          -5.2800629576E+1         
07/11/16                  09:57:57.9                1.9237358777E+2           3.4635416670E+1           7.8481477631E+2           3.5074172803E+4           -7.2250974466E+0          -5.2310279119E+1         
07/11/16                  09:58:09.9                1.9237372571E+2           3.4638888890E+1           7.8489355841E+2           3.5241081973E+4           -7.4703947590E+0          -5.3063570078E+1         
07/11/16                  09:58:20.3                1.9237384636E+2           3.4619318180E+1           7.8440632529E+2           3.5072727491E+4           -6.8309240666E+0          -5.1312767532E+1         
07/11/16                  09:58:33.4                1.9237399839E+2           3.4575000000E+1           7.8516156310E+2           3.4989877376E+4           -6.7992566531E+0          -5.3283816961E+1         
07/11/16                  09:58:46.8                1.9237415376E+2           3.4578125000E+1           7.8483209676E+2           3.5211102478E+4           -7.0538998229E+0          -5.2676640467E+1         
07/11/16                  09:58:58.3                1.9237428668E+2           3.4562500000E+1           7.8432102978E+2           3.5000801331E+4           -7.6845389719E+0          -5.1978539695E+1         
07/11/16                  09:59:09.0                1.9237441014E+2           3.4562500000E+1           7.8464715919E+2           3.4875735947E+4           -6.8615217265E+0          -5.2372822561E+1         
07/11/16                  09:59:18.5                1.9237451985E+2           3.4500000000E+1           7.8479351238E+2           3.4917270098E+4           -7.5479750667E+0          -5.3426843520E+1         
07/11/16                  09:59:32.2                1.9237467929E+2           3.4500000000E+1           7.8448654466E+2           3.4946161795E+4           -7.5849550106E+0          -5.2952478663E+1         
07/11/16                  09:59:44.0                1.9237481500E+2           3.4489583330E+1           7.8492054153E+2           3.4976370677E+4           -7.4293874657E+0          -5.3830569513E+1         
07/11/16                  09:59:55.2                1.9237494519E+2           3.4437500000E+1           7.8455527064E+2           3.5202199710E+4           -6.9487854145E+0          -5.2455905352E+1         
07/11/16                  10:00:08.3                1.9237509635E+2           3.4419642860E+1           7.8512863883E+2           3.5333438314E+4           -7.5310808112E+0          -5.3120898538E+1         
07/11/16                  10:00:20.1                1.9237523276E+2           3.4375000000E+1           7.8520011080E+2           3.5439521953E+4           -6.7411828737E+0          -5.2955615771E+1         
07/11/16                  10:00:34.9                1.9237540402E+2           3.4378289470E+1           7.8340237650E+2           3.5555596233E+4           -7.5854662421E+0          -5.1307465319E+1         
07/11/16                  10:00:49.7                1.9237557607E+2           3.4348214290E+1           7.8497737267E+2           3.5197350297E+4           -6.7356660617E+0          -5.2961160227E+1         
07/11/16                  10:01:03.4                1.9237573429E+2           3.4375000000E+1           7.8492555726E+2           3.5255674636E+4           -7.0628758605E+0          -5.3291713700E+1         
07/11/16                  10:01:14.4                1.9237586124E+2           3.4334821430E+1           7.8458298960E+2           3.5265365097E+4           -6.9855373607E+0          -5.2824640885E+1         
