DATE                      TIME                      DAYS_SINCE_JAN            H2O                       D_1816                    D_DH                     
08/11/15                  18:06:23.0                2.2271276721E+2           1.8906922888E+4           -1.4862154031E+1          -1.2156635865E+2         
08/11/15                  18:06:28.4                2.2271282966E+2           1.8943306699E+4           -1.4852090997E+1          -1.2357471699E+2         
08/11/15                  18:06:33.8                2.2271289188E+2           1.8960612877E+4           -1.4773405852E+1          -1.2373485821E+2         
08/11/15                  18:06:39.2                2.2271295428E+2           1.8970459927E+4           -1.4673202884E+1          -1.2337469366E+2         
08/11/15                  18:06:44.7                2.2271301787E+2           1.8981466789E+4           -1.4882010902E+1          -1.2187644871E+2         
08/11/15                  18:06:50.2                2.2271308136E+2           1.8393708923E+4           -1.4628254326E+1          -1.2136269539E+2         
08/11/15                  18:06:55.5                2.2271314275E+2           1.7782677454E+4           -1.4042958608E+1          -1.1998688409E+2         
08/11/15                  18:07:02.7                2.2271322670E+2           2.0867849832E+4           -1.5095222700E+1          -9.1006021729E+1         
08/11/15                  18:07:08.3                2.2271329084E+2           2.1013853826E+4           -1.3153567151E+1          -1.2383158102E+2         
08/11/15                  18:07:13.7                2.2271335368E+2           2.0200932785E+4           -1.4122237335E+1          -1.2474281955E+2         
08/11/15                  18:07:19.2                2.2271341775E+2           1.7208806756E+4           -1.4014673928E+1          -1.2366162849E+2         
08/11/15                  18:07:24.6                2.2271347941E+2           1.4789821648E+4           -1.4148628111E+1          -1.2522022904E+2         
08/11/15                  18:07:29.8                2.2271354012E+2           1.4026096993E+4           -1.4351626523E+1          -1.2632759505E+2         
08/11/15                  18:07:35.0                2.2271360023E+2           1.4293616246E+4           -1.4337207873E+1          -1.2543063188E+2         
08/11/15                  18:07:40.2                2.2271366038E+2           1.4900647090E+4           -1.4244387748E+1          -1.2594996360E+2         
08/11/15                  18:07:45.4                2.2271372101E+2           1.5574597457E+4           -1.4320099038E+1          -1.2479838096E+2         
08/11/15                  18:07:50.7                2.2271378213E+2           1.6237537339E+4           -1.4122172380E+1          -1.2573626903E+2         
08/11/15                  18:07:56.1                2.2271384377E+2           1.6843288336E+4           -1.4111138672E+1          -1.2580004766E+2         
08/11/15                  18:08:03.2                2.2271392629E+2           1.7509681648E+4           -1.4349273379E+1          -1.2404966320E+2         
08/11/15                  18:08:08.6                2.2271398860E+2           1.7869537290E+4           -1.4683571096E+1          -1.2494022908E+2         
08/11/15                  18:08:13.9                2.2271405036E+2           1.8115383298E+4           -1.4580228732E+1          -1.2665516600E+2         
08/11/15                  18:08:19.3                2.2271411247E+2           1.8290784972E+4           -1.4527172457E+1          -1.2534258860E+2         
08/11/15                  18:08:24.6                2.2271417443E+2           1.8404443659E+4           -1.4919165401E+1          -1.2577815647E+2         
08/11/15                  18:08:30.0                2.2271423673E+2           1.8474808672E+4           -1.5073394581E+1          -1.2667823713E+2         
08/11/15                  18:08:35.4                2.2271429941E+2           1.8528161914E+4           -1.5260493056E+1          -1.2613472071E+2         
08/11/15                  18:08:40.8                2.2271436182E+2           1.8570931213E+4           -1.5094412081E+1          -1.2678165410E+2         
08/11/15                  18:08:46.3                2.2271442492E+2           1.8612172218E+4           -1.5305034447E+1          -1.2571294157E+2         
08/11/15                  18:08:51.7                2.2271448779E+2           1.8659016005E+4           -1.5447522806E+1          -1.2720115151E+2         
08/11/15                  18:08:57.1                2.2271455046E+2           1.8707467332E+4           -1.5308145719E+1          -1.2750621948E+2         
08/11/15                  18:09:04.4                2.2271463439E+2           1.8746698841E+4           -1.5394687304E+1          -1.2649107102E+2         
08/11/15                  18:09:09.8                2.2271469735E+2           1.8780995193E+4           -1.5470365401E+1          -1.2579203569E+2         
08/11/15                  18:09:15.1                2.2271475914E+2           1.8814313249E+4           -1.5850918165E+1          -1.2533790042E+2         
08/11/15                  18:09:20.5                2.2271482170E+2           1.8842249856E+4           -1.5329021257E+1          -1.2603647771E+2         
08/11/15                  18:09:25.9                2.2271488414E+2           1.8865668196E+4           -1.5494456331E+1          -1.2759258925E+2         
08/11/15                  18:09:31.4                2.2271494699E+2           1.8866257482E+4           -1.5051521122E+1          -1.2574981148E+2         
08/11/15                  18:09:36.8                2.2271500993E+2           1.8887449463E+4           -1.5343318043E+1          -1.2534408345E+2         
08/11/15                  18:09:42.2                2.2271507231E+2           1.8897912500E+4           -1.5175378250E+1          -1.2691248973E+2         
08/11/15                  18:09:47.6                2.2271513516E+2           1.8901168975E+4           -1.5001648004E+1          -1.2901100153E+2         
08/11/15                  18:09:53.0                2.2271519695E+2           1.8915179785E+4           -1.5119618086E+1          -1.2732820517E+2         
08/11/15                  18:09:58.4                2.2271525972E+2           1.8916540790E+4           -1.5072795140E+1          -1.2706272087E+2         
08/11/15                  18:10:05.8                2.2271534531E+2           1.8925388053E+4           -1.5094243794E+1          -1.2783144575E+2         
08/11/15                  18:10:11.2                2.2271540752E+2           1.8937573270E+4           -1.4951237054E+1          -1.2783989817E+2         
08/11/15                  18:10:16.5                2.2271546927E+2           1.8949070618E+4           -1.4898730280E+1          -1.2805564551E+2         
08/11/15                  18:10:21.9                2.2271553191E+2           1.8956882499E+4           -1.4775119221E+1          -1.2872449199E+2         
08/11/15                  18:10:27.3                2.2271559409E+2           1.8960064257E+4           -1.4874502796E+1          -1.2843944764E+2         
08/11/15                  18:10:32.8                2.2271565832E+2           1.8948744385E+4           -1.4687747575E+1          -1.2854488172E+2         
08/11/15                  18:10:38.2                2.2271572053E+2           1.8942309790E+4           -1.4562895650E+1          -1.2889698108E+2         
08/11/15                  18:10:43.6                2.2271578339E+2           1.8938383859E+4           -1.4800892642E+1          -1.2869904267E+2         
08/11/15                  18:10:49.0                2.2271584548E+2           1.8942950740E+4           -1.4786048460E+1          -1.2720501635E+2         
08/11/15                  18:10:54.5                2.2271590902E+2           1.8955706618E+4           -1.4669072350E+1          -1.2727533474E+2         
08/11/15                  18:11:00.1                2.2271597386E+2           1.8961023362E+4           -1.4856371925E+1          -1.2789459465E+2         
08/11/15                  18:11:07.3                2.2271605775E+2           1.8948710596E+4           -1.4920796901E+1          -1.2729144151E+2         
08/11/15                  18:11:12.8                2.2271612104E+2           1.8957585621E+4           -1.4988107881E+1          -1.2849448280E+2         
08/11/15                  18:11:18.2                2.2271618328E+2           1.8942262328E+4           -1.4849342520E+1          -1.2830483559E+2         
08/11/15                  18:11:23.5                2.2271624486E+2           1.8949497183E+4           -1.4803146349E+1          -1.2865635924E+2         
08/11/15                  18:11:28.9                2.2271630677E+2           1.8955521903E+4           -1.4815779546E+1          -1.2943947400E+2         
08/11/15                  18:11:34.3                2.2271636966E+2           1.8955992596E+4           -1.4896189093E+1          -1.2811899640E+2         
08/11/15                  18:11:39.7                2.2271643236E+2           1.8947408475E+4           -1.4803534677E+1          -1.2887569582E+2         
08/11/15                  18:11:45.1                2.2271649466E+2           1.8942332619E+4           -1.5068603519E+1          -1.2812299440E+2         
08/11/15                  18:11:50.5                2.2271655688E+2           1.8939021329E+4           -1.4931211493E+1          -1.2830615627E+2         
08/11/15                  18:11:55.9                2.2271662000E+2           1.8929013957E+4           -1.4578377233E+1          -1.2883399565E+2         
08/11/15                  18:12:01.3                2.2271668279E+2           1.8930610289E+4           -1.4663045149E+1          -1.2795221419E+2         
08/11/15                  18:12:08.5                2.2271676598E+2           1.8935282591E+4           -1.5030554821E+1          -1.2772620007E+2         
08/11/15                  18:12:14.0                2.2271682888E+2           1.8921097270E+4           -1.5001601204E+1          -1.2814358409E+2         
08/11/15                  18:12:19.4                2.2271689153E+2           1.8918714603E+4           -1.5033514808E+1          -1.2720648628E+2         
08/11/15                  18:12:24.7                2.2271695328E+2           1.8901143051E+4           -1.4675156247E+1          -1.2862421656E+2         
08/11/15                  18:12:30.0                2.2271701475E+2           1.8900155218E+4           -1.4950595594E+1          -1.2856842214E+2         
08/11/15                  18:12:35.5                2.2271707756E+2           1.8906908341E+4           -1.5122772734E+1          -1.2726581590E+2         
08/11/15                  18:12:40.8                2.2271713983E+2           1.8905972042E+4           -1.4829733539E+1          -1.2859644641E+2         
08/11/15                  18:12:46.2                2.2271720149E+2           1.8914205972E+4           -1.5257210952E+1          -1.2761042620E+2         
08/11/15                  18:12:51.5                2.2271726340E+2           1.8914181045E+4           -1.5053963934E+1          -1.2836992987E+2         
08/11/15                  18:12:56.9                2.2271732554E+2           1.8905728312E+4           -1.4843273949E+1          -1.2705342096E+2         
08/11/15                  18:13:02.4                2.2271738902E+2           1.8903546406E+4           -1.4949234628E+1          -1.2843273071E+2         
08/11/15                  18:13:09.6                2.2271747243E+2           1.8921035542E+4           -1.4960399477E+1          -1.2802969305E+2         
08/11/15                  18:13:15.0                2.2271753503E+2           1.8920082649E+4           -1.4859241402E+1          -1.2732050580E+2         
08/11/15                  18:13:20.4                2.2271759753E+2           1.8917422449E+4           -1.4755435119E+1          -1.2738213074E+2         
08/11/15                  18:13:25.8                2.2271765996E+2           1.8917683781E+4           -1.5103125339E+1          -1.2713653350E+2         
08/11/15                  18:13:31.2                2.2271772316E+2           1.8916149786E+4           -1.5156142693E+1          -1.2680328711E+2         
08/11/15                  18:13:36.7                2.2271778662E+2           1.8912099179E+4           -1.5136085822E+1          -1.2790579278E+2         
08/11/15                  18:13:42.1                2.2271784935E+2           1.8899285638E+4           -1.4790175485E+1          -1.2718578988E+2         
08/11/15                  18:13:47.6                2.2271791248E+2           1.8886198628E+4           -1.4727823755E+1          -1.2749048853E+2         
08/11/15                  18:13:53.0                2.2271797515E+2           1.8882487621E+4           -1.4828054496E+1          -1.2765932437E+2         
08/11/15                  18:13:58.4                2.2271803712E+2           1.8889501690E+4           -1.4992595943E+1          -1.2830792682E+2         
08/11/15                  18:14:03.7                2.2271809942E+2           1.8890467086E+4           -1.4968789732E+1          -1.2663551686E+2         
08/11/15                  18:14:11.0                2.2271818295E+2           1.8895826910E+4           -1.4907491492E+1          -1.2800925570E+2         
08/11/15                  18:14:16.4                2.2271824609E+2           1.8895938708E+4           -1.4996220367E+1          -1.2737997289E+2         
08/11/15                  18:14:21.8                2.2271830803E+2           1.8888650455E+4           -1.4970074602E+1          -1.2752740923E+2         
