DATE                      TIME                      DAYS_SINCE_JAN            DAS_TEMP_(C)              BASELINE                  H2O                       D_1816                    D_DH                     
07/23/16                  10:00:01.3                2.0437501506E+2           3.7812500000E+1           7.8430257817E+2           2.8670003550E+4           -9.4912658892E+0          -6.4974631684E+1         
07/23/16                  10:00:09.9                2.0437511496E+2           3.7848214290E+1           7.8407096051E+2           2.8152056906E+4           -1.0372861050E+1          -6.6059459261E+1         
07/23/16                  10:00:16.3                2.0437518900E+2           3.7875000000E+1           7.8279193568E+2           2.8155392115E+4           -9.3559695688E+0          -5.6861872733E+1         
07/23/16                  10:00:22.3                2.0437525908E+2           3.7875000000E+1           7.8440133915E+2           2.0625401644E+4           -9.8338255094E+0          -6.9186980299E+1         
07/23/16                  10:00:27.6                2.0437532051E+2           3.7875000000E+1           7.8550659726E+2           1.1735647171E+4           -1.0753257362E+1          -6.8931964259E+1         
07/23/16                  10:00:32.8                2.0437537980E+2           3.7875000000E+1           7.8594316891E+2           6.5278697904E+3           -1.2414253033E+1          -7.2325201747E+1         
07/23/16                  10:00:37.9                2.0437543868E+2           3.7875000000E+1           7.8529598607E+2           3.8349715067E+3           -1.3759685023E+1          -6.5957603962E+1         
07/23/16                  10:00:42.9                2.0437549722E+2           3.7875000000E+1           7.8584328609E+2           2.4709644276E+3           -1.2937912452E+1          -7.9251840274E+1         
07/23/16                  10:00:47.9                2.0437555506E+2           3.7875000000E+1           7.8730497271E+2           1.9041897532E+3           9.8100332397E+1           -1.5297122255E+2         
07/23/16                  10:00:53.1                2.0437561477E+2           3.7875000000E+1           7.8593515297E+2           7.5827286993E+3           -1.4655815371E+1          -7.0744548499E+1         
07/23/16                  10:00:58.2                2.0437567464E+2           3.7875000000E+1           7.8356762840E+2           1.6925113279E+4           -9.5410499495E+0          -6.7902752017E+1         
07/23/16                  10:01:03.8                2.0437573867E+2           3.7875000000E+1           7.8452949466E+2           2.2979109326E+4           -8.6395936442E+0          -6.8504954676E+1         
07/23/16                  10:01:11.6                2.0437582971E+2           3.7927083330E+1           7.8477722180E+2           2.6410063218E+4           -9.0265422153E+0          -6.7998996762E+1         
07/23/16                  10:01:18.0                2.0437590289E+2           3.7937500000E+1           7.8391281415E+2           2.7592749110E+4           -9.9027317536E+0          -6.4970624210E+1         
07/23/16                  10:01:24.2                2.0437597505E+2           3.7937500000E+1           7.8420966788E+2           2.8245586004E+4           -9.9492971914E+0          -6.4827076018E+1         
07/23/16                  10:01:30.7                2.0437605069E+2           3.7964285710E+1           7.8485880097E+2           2.8593358934E+4           -1.0177846597E+1          -6.5625038278E+1         
07/23/16                  10:01:37.3                2.0437612677E+2           3.7968750000E+1           7.8456215618E+2           2.9006100807E+4           -9.7011745022E+0          -6.4601470354E+1         
07/23/16                  10:01:44.1                2.0437620495E+2           3.8000000000E+1           7.8462664312E+2           2.9216532089E+4           -1.0079099418E+1          -6.4714557575E+1         
07/23/16                  10:01:50.7                2.0437628186E+2           3.8000000000E+1           7.8468657027E+2           2.9284123102E+4           -1.0215384535E+1          -6.5020398491E+1         
07/23/16                  10:01:57.5                2.0437636085E+2           3.7991071430E+1           7.8429813015E+2           2.9270203272E+4           -1.0178812573E+1          -6.4299335507E+1         
07/23/16                  10:02:04.4                2.0437644042E+2           3.8000000000E+1           7.8460102831E+2           2.9264358809E+4           -9.8859899616E+0          -6.4425355086E+1         
07/23/16                  10:02:11.1                2.0437651740E+2           3.8000000000E+1           7.8437712238E+2           2.9451981506E+4           -9.8487691238E+0          -6.3381852929E+1         
07/23/16                  10:02:18.0                2.0437659770E+2           3.8000000000E+1           7.8494960194E+2           2.9640901889E+4           -1.0160466644E+1          -6.5048741433E+1         
07/23/16                  10:02:26.6                2.0437669697E+2           3.7946428570E+1           7.8383087069E+2           2.9737858264E+4           -1.0026269870E+1          -6.2830212021E+1         
07/23/16                  10:02:33.2                2.0437677389E+2           3.7937500000E+1           7.8450972375E+2           2.9169554565E+4           -9.6328633937E+0          -6.4013669458E+1         
07/23/16                  10:02:39.6                2.0437684784E+2           3.7979166670E+1           7.8459866882E+2           2.8656704428E+4           -9.6778288969E+0          -6.5808593851E+1         
07/23/16                  10:02:46.0                2.0437692212E+2           3.7982142860E+1           7.8414486542E+2           2.8618378971E+4           -1.0274853354E+1          -6.4914324501E+1         
07/23/16                  10:02:52.5                2.0437699732E+2           3.7975000000E+1           7.8447290035E+2           2.8685516609E+4           -9.8567433274E+0          -6.5499984102E+1         
07/23/16                  10:02:59.2                2.0437707453E+2           3.7973214290E+1           7.8409827885E+2           2.8929240535E+4           -1.0050997193E+1          -6.5083473432E+1         
07/23/16                  10:03:06.1                2.0437715395E+2           3.7973214290E+1           7.8445721508E+2           2.9330022751E+4           -1.0177291594E+1          -6.4362020221E+1         
07/23/16                  10:03:12.5                2.0437722864E+2           3.7937500000E+1           7.8482764449E+2           2.9458489667E+4           -9.7410971961E+0          -6.4748455146E+1         
07/23/16                  10:03:18.8                2.0437730113E+2           3.7937500000E+1           7.8426088911E+2           2.9694538941E+4           -1.0096525484E+1          -6.3253753777E+1         
07/23/16                  10:03:25.5                2.0437737944E+2           3.7937500000E+1           7.8442982268E+2           2.9856255958E+4           -1.0004611415E+1          -6.4085271843E+1         
07/23/16                  10:03:32.3                2.0437745763E+2           3.7937500000E+1           7.8428184595E+2           2.9924193652E+4           -9.9490171802E+0          -6.3114259523E+1         
07/23/16                  10:03:41.5                2.0437756416E+2           3.7937500000E+1           7.8427742293E+2           3.0047805201E+4           -9.7504270298E+0          -6.3084066120E+1         
07/23/16                  10:03:48.4                2.0437764379E+2           3.7937500000E+1           7.8453709577E+2           2.9962327680E+4           -1.0015683719E+1          -6.2795724983E+1         
07/23/16                  10:03:55.1                2.0437772121E+2           3.7937500000E+1           7.8445433472E+2           2.9638387974E+4           -1.0183994335E+1          -6.3200826450E+1         
07/23/16                  10:04:01.8                2.0437779954E+2           3.7937500000E+1           7.8472945347E+2           2.9360786329E+4           -9.9424024916E+0          -6.4561885104E+1         
07/23/16                  10:04:08.3                2.0437787412E+2           3.7906250000E+1           7.8403808186E+2           2.8930802915E+4           -9.8938618129E+0          -6.4582394507E+1         
07/23/16                  10:04:14.8                2.0437795007E+2           3.7910714290E+1           7.8424227611E+2           2.8390636154E+4           -1.0053481984E+1          -6.5549256676E+1         
07/23/16                  10:04:21.2                2.0437802392E+2           3.7927083330E+1           7.8467291445E+2           2.8232973821E+4           -9.7265200351E+0          -6.6089469311E+1         
07/23/16                  10:04:27.8                2.0437810007E+2           3.7883928570E+1           7.8432929765E+2           2.8512347007E+4           -1.0162986888E+1          -6.6142763447E+1         
07/23/16                  10:04:34.3                2.0437817480E+2           3.7895833330E+1           7.8456614133E+2           2.8623768978E+4           -9.7667893773E+0          -6.5613919369E+1         
07/23/16                  10:04:40.6                2.0437824785E+2           3.7875000000E+1           7.8412633950E+2           2.8833081028E+4           -1.0238880364E+1          -6.4623999162E+1         
07/23/16                  10:04:47.2                2.0437832480E+2           3.7885416670E+1           7.8415860709E+2           2.9479868485E+4           -1.0126365536E+1          -6.3443462241E+1         
07/23/16                  10:04:56.0                2.0437842683E+2           3.7892857140E+1           7.8362455872E+2           2.9588083499E+4           -1.0623792895E+1          -6.2762910476E+1         
07/23/16                  10:05:02.7                2.0437850460E+2           3.7928571430E+1           7.8458797908E+2           2.9372748658E+4           -1.0341280983E+1          -6.4541611524E+1         
07/23/16                  10:05:09.2                2.0437857952E+2           3.7937500000E+1           7.8423285683E+2           2.9400925323E+4           -1.0027993369E+1          -6.3917961789E+1         
07/23/16                  10:05:15.7                2.0437865454E+2           3.7919642860E+1           7.8447395692E+2           2.9580933406E+4           -9.8689723970E+0          -6.4078812531E+1         
07/23/16                  10:05:22.4                2.0437873219E+2           3.7916666670E+1           7.8458360422E+2           2.9622216559E+4           -9.0439044348E+0          -6.2588216534E+1         
07/23/16                  10:05:29.3                2.0437881146E+2           3.7901785710E+1           7.8394065828E+2           2.9835182267E+4           -1.1163580979E+1          -6.3840991986E+1         
07/23/16                  10:05:35.7                2.0437888612E+2           3.7937500000E+1           7.8411701279E+2           2.9291973108E+4           -1.0101860016E+1          -6.3746325517E+1         
07/23/16                  10:05:42.4                2.0437896394E+2           3.7937500000E+1           7.8436632189E+2           2.8988768551E+4           -1.0149996932E+1          -6.4678499914E+1         
