DATE                      TIME                      DAYS_SINCE_JAN            DAS_TEMP_(C)              BASELINE                  H2O                       D_1816                    D_DH                     
07/02/16                  09:48:19.7                1.8336689543E+2           3.3812500000E+1           7.8754356350E+2           3.2930816675E+4           2.6760841723E+1           8.8506597572E+1          
07/02/16                  09:48:29.9                1.8336701319E+2           3.3812500000E+1           7.8716816809E+2           3.3142577027E+4           2.4702920277E+1           8.7306212022E+1          
07/02/16                  09:48:48.5                1.8336722915E+2           3.3718750000E+1           7.8789557800E+2           3.3645844725E+4           2.0779967230E+1           8.0385356308E+1          
07/02/16                  09:49:01.3                1.8336737719E+2           3.3670454550E+1           7.8609426499E+2           3.4310769304E+4           2.1211525401E+1           8.2973998652E+1          
07/02/16                  09:49:15.0                1.8336753518E+2           3.3620833330E+1           7.8733949711E+2           3.4707093182E+4           2.0765270382E+1           8.2213921788E+1          
07/02/16                  09:49:28.6                1.8336769286E+2           3.3562500000E+1           7.8638745534E+2           3.4945960794E+4           1.8800326980E+1           8.2279557602E+1          
07/02/16                  09:49:41.7                1.8336784444E+2           3.3505681820E+1           7.8566647812E+2           3.4865888918E+4           2.0829911881E+1           8.3563475748E+1          
07/02/16                  09:49:53.5                1.8336798115E+2           3.3468750000E+1           7.8634268414E+2           3.3964531725E+4           1.9507731943E+1           8.2360996303E+1          
07/02/16                  09:50:03.3                1.8336809404E+2           3.3437500000E+1           7.8692133525E+2           3.3812534984E+4           1.9162941574E+1           8.0271218385E+1          
07/02/16                  09:50:12.8                1.8336820451E+2           3.3409722220E+1           7.8643729626E+2           3.4249330116E+4           2.0503997358E+1           8.1569569967E+1          
07/02/16                  09:50:26.0                1.8336835689E+2           3.3361111110E+1           7.8608103172E+2           3.4598242776E+4           2.1536299675E+1           8.3389020440E+1          
07/02/16                  09:50:41.9                1.8336854140E+2           3.3272727270E+1           7.8694216435E+2           3.4445483123E+4           2.3599826012E+1           8.0872217442E+1          
07/02/16                  09:50:56.9                1.8336871456E+2           3.3250000000E+1           7.8697691915E+2           3.4414394875E+4           2.6830868066E+1           8.2361772899E+1          
07/02/16                  09:51:20.2                1.8336898435E+2           3.3256250000E+1           7.8749384760E+2           3.4512398039E+4           3.1111493666E+1           7.5174052442E+1          
07/02/16                  09:51:40.2                1.8336921606E+2           3.3275000000E+1           7.8793850743E+2           3.4459423842E+4           3.4370517185E+1           7.2956657482E+1          
07/02/16                  09:51:59.5                1.8336943933E+2           3.3290625000E+1           7.8960481130E+2           3.4576339929E+4           3.8417470349E+1           6.9182448522E+1          
07/02/16                  09:52:17.8                1.8336965047E+2           3.3250000000E+1           7.8772359805E+2           3.4980289086E+4           4.4677330699E+1           7.0925231688E+1          
07/02/16                  09:52:41.0                1.8336992001E+2           3.3221354170E+1           7.8929864472E+2           3.4372539287E+4           4.6865297349E+1           6.4252588370E+1          
07/02/16                  09:53:01.2                1.8337015379E+2           3.3187500000E+1           7.8761836508E+2           3.4217755737E+4           5.2119435133E+1           7.0048213083E+1          
07/02/16                  09:53:17.6                1.8337034318E+2           3.3187500000E+1           7.8787193886E+2           3.3799022649E+4           5.3355639158E+1           6.6766231217E+1          
07/02/16                  09:53:34.7                1.8337054146E+2           3.3132812500E+1           7.8764542430E+2           3.3678301167E+4           5.3724367729E+1           6.6134321946E+1          
07/02/16                  09:53:50.1                1.8337071970E+2           3.3128472220E+1           7.8829601228E+2           3.3801666517E+4           5.6266246965E+1           6.3361104311E+1          
07/02/16                  09:54:07.8                1.8337092426E+2           3.3114583330E+1           7.8843181051E+2           3.3885357582E+4           5.6874182587E+1           6.2965295698E+1          
07/02/16                  09:54:22.5                1.8337109401E+2           3.3122023810E+1           7.8761545602E+2           3.4692574519E+4           5.4056992816E+1           6.2782117189E+1          
07/02/16                  09:54:46.2                1.8337136898E+2           3.3154605260E+1           7.8956852120E+2           3.4354251578E+4           5.7076978004E+1           5.3862829545E+1          
07/02/16                  09:55:06.7                1.8337160634E+2           3.3190340910E+1           7.8854720821E+2           3.4253482048E+4           5.5838439456E+1           5.3705098223E+1          
07/02/16                  09:55:30.3                1.8337187894E+2           3.3195312500E+1           7.8687698670E+2           3.4412932039E+4           5.1357725064E+1           5.4106876647E+1          
07/02/16                  09:55:49.9                1.8337210563E+2           3.3184027780E+1           7.8981950860E+2           3.4280303442E+4           5.2519620130E+1           4.8694185949E+1          
07/02/16                  09:56:13.3                1.8337237730E+2           3.3148148150E+1           7.8793072520E+2           3.4602797425E+4           5.0241256013E+1           5.3773964736E+1          
07/02/16                  09:56:40.8                1.8337269539E+2           3.3139880950E+1           7.8977115291E+2           3.3204248768E+4           4.7410902769E+1           3.9813135527E+1          
07/02/16                  09:56:59.4                1.8337290994E+2           3.3150735290E+1           7.8971212821E+2           3.3029096747E+4           4.6773125250E+1           3.7543127677E+1          
07/02/16                  09:57:16.2                1.8337310512E+2           3.3121527780E+1           7.8965419736E+2           3.2985817228E+4           4.7418749557E+1           3.7706396053E+1          
07/02/16                  09:57:31.6                1.8337328297E+2           3.3125000000E+1           7.8922325627E+2           3.2992055974E+4           4.6221168906E+1           3.7379837649E+1          
07/02/16                  09:57:43.3                1.8337341789E+2           3.3125000000E+1           7.8921222806E+2           3.3029067698E+4           4.6282924292E+1           3.8180194700E+1          
07/02/16                  09:57:54.1                1.8337354290E+2           3.3081250000E+1           7.8935589475E+2           3.3010502101E+4           4.6685663456E+1           3.8273837436E+1          
07/02/16                  09:58:08.8                1.8337371372E+2           3.3041666670E+1           7.8897685157E+2           3.3094622496E+4           4.4154079618E+1           3.3039112226E+1          
07/02/16                  09:58:23.7                1.8337388638E+2           3.3043269230E+1           7.8990012166E+2           3.3120791798E+4           4.4867928976E+1           3.1604947539E+1          
07/02/16                  09:58:35.7                1.8337402476E+2           3.3056818180E+1           7.8956907944E+2           3.3092544920E+4           4.6138048907E+1           3.2420373475E+1          
07/02/16                  09:58:47.9                1.8337416614E+2           3.3025000000E+1           7.8940931539E+2           3.3132113789E+4           4.4072600920E+1           3.1007731088E+1          
07/02/16                  09:59:01.5                1.8337432334E+2           3.3006944440E+1           7.8969493861E+2           3.3105173860E+4           4.7128799704E+1           3.1340100669E+1          
07/02/16                  09:59:12.7                1.8337445277E+2           3.3000000000E+1           7.8943882235E+2           3.3137514495E+4           4.6053461691E+1           2.9686584939E+1          
07/02/16                  09:59:27.6                1.8337462502E+2           3.3000000000E+1           7.9010411205E+2           3.3279785826E+4           4.7043571814E+1           2.8761214085E+1          
07/02/16                  09:59:42.1                1.8337479306E+2           3.3000000000E+1           7.9040961098E+2           3.3152197251E+4           4.6517117654E+1           2.6531409105E+1          
07/02/16                  09:59:55.4                1.8337494760E+2           3.2990384620E+1           7.8983846931E+2           3.3195261986E+4           4.6869378132E+1           2.6572201346E+1          
07/02/16                  10:00:08.9                1.8337510391E+2           3.2937500000E+1           7.8977476937E+2           3.3144315064E+4           4.7416701152E+1           2.7838604973E+1          
07/02/16                  10:00:21.9                1.8337525451E+2           3.2954166670E+1           7.8939969197E+2           3.3221269572E+4           4.7024161147E+1           2.7163012641E+1          
07/02/16                  10:00:39.3                1.8337545576E+2           3.2984375000E+1           7.9003164439E+2           3.3269306864E+4           4.6008486560E+1           2.0922663917E+1          
07/02/16                  10:00:53.0                1.8337561413E+2           3.3000000000E+1           7.9013596827E+2           3.3346331394E+4           4.6961977894E+1           2.0021324392E+1          
07/02/16                  10:01:06.1                1.8337576540E+2           3.3000000000E+1           7.8956557811E+2           3.3243534189E+4           4.6841630351E+1           1.9969254850E+1          
07/02/16                  10:01:20.0                1.8337592615E+2           3.3013392860E+1           7.8939152217E+2           3.3194065984E+4           4.6324015405E+1           2.0756205931E+1          
07/02/16                  10:01:33.2                1.8337607942E+2           3.3039062500E+1           7.8922513672E+2           3.3163361909E+4           4.6728098221E+1           1.9873711498E+1          
