DATE                      TIME                      DAYS_SINCE_JAN            DAS_TEMP_(C)              BASELINE                  H2O                       D_1816                    D_DH                     
06/30/16                  09:34:23.9                1.8135722218E+2           3.5187500000E+1           7.8487262712E+2           3.1660540511E+4           -1.0832044342E+1          -6.6291876779E+1         
06/30/16                  09:34:30.8                1.8135730194E+2           3.5196428570E+1           7.8476514667E+2           3.1660741849E+4           -1.0975795426E+1          -6.6076495653E+1         
06/30/16                  09:34:38.3                1.8135738811E+2           3.5232142860E+1           7.8504333502E+2           3.1646446932E+4           -1.0456192730E+1          -6.6262854862E+1         
06/30/16                  09:34:45.5                1.8135747203E+2           3.5242187500E+1           7.8508497885E+2           3.1653453617E+4           -1.1049062812E+1          -6.6530323671E+1         
06/30/16                  09:34:52.5                1.8135755246E+2           3.5250000000E+1           7.8489689004E+2           3.1687245821E+4           -1.0773115979E+1          -6.6199560977E+1         
06/30/16                  09:34:59.7                1.8135763558E+2           3.5250000000E+1           7.8469573354E+2           3.1681867205E+4           -1.0926060966E+1          -6.5812623696E+1         
06/30/16                  09:35:08.7                1.8135773993E+2           3.5276785710E+1           7.8467657776E+2           3.1698036833E+4           -1.1275687183E+1          -6.6324162773E+1         
06/30/16                  09:35:15.7                1.8135782108E+2           3.5267857140E+1           7.8528011892E+2           3.1703649765E+4           -1.0686292247E+1          -6.6970211147E+1         
06/30/16                  09:35:23.2                1.8135790797E+2           3.5263888890E+1           7.8521732009E+2           3.1692195322E+4           -1.0614233013E+1          -6.6771708145E+1         
06/30/16                  09:35:31.9                1.8135800920E+2           3.5250000000E+1           7.8530085859E+2           3.1673733430E+4           -1.0810817155E+1          -6.7050141033E+1         
06/30/16                  09:35:39.4                1.8135809567E+2           3.5260416670E+1           7.8486577879E+2           3.1635536763E+4           -1.1094828725E+1          -6.5976809580E+1         
06/30/16                  09:35:46.5                1.8135817759E+2           3.5250000000E+1           7.8463037902E+2           3.1588462133E+4           -1.0736431575E+1          -6.6314065200E+1         
06/30/16                  09:35:53.4                1.8135825725E+2           3.5250000000E+1           7.8457950448E+2           3.1475013086E+4           -1.0656242645E+1          -6.5522821805E+1         
06/30/16                  09:36:00.0                1.8135833393E+2           3.5270833330E+1           7.8477609325E+2           3.1326387579E+4           -1.0870765203E+1          -6.5971437965E+1         
06/30/16                  09:36:06.9                1.8135841370E+2           3.5267857140E+1           7.8503354502E+2           3.1197234496E+4           -1.0888772350E+1          -6.7352852349E+1         
06/30/16                  09:36:13.7                1.8135849299E+2           3.5250000000E+1           7.8487333868E+2           3.1171484265E+4           -1.1047611837E+1          -6.6593033505E+1         
06/30/16                  09:36:20.5                1.8135857088E+2           3.5250000000E+1           7.8530280613E+2           3.1215972012E+4           -1.0823079508E+1          -6.7495172734E+1         
06/30/16                  09:36:29.1                1.8135867111E+2           3.5250000000E+1           7.8452226607E+2           3.1252295409E+4           -1.0972317566E+1          -6.6123014477E+1         
06/30/16                  09:36:36.1                1.8135875138E+2           3.5285714290E+1           7.8482383801E+2           3.1266332206E+4           -1.1133829080E+1          -6.6438945196E+1         
06/30/16                  09:36:43.0                1.8135883191E+2           3.5294642860E+1           7.8486750323E+2           3.1312142510E+4           -1.0905897521E+1          -6.6724131125E+1         
06/30/16                  09:36:50.1                1.8135891396E+2           3.5303571430E+1           7.8493582647E+2           3.1341180267E+4           -1.0693462464E+1          -6.6734017658E+1         
06/30/16                  09:36:57.2                1.8135899612E+2           3.5312500000E+1           7.8517453644E+2           3.1377166930E+4           -1.0873960502E+1          -6.7295732600E+1         
06/30/16                  09:37:04.0                1.8135907499E+2           3.5294642860E+1           7.8506412458E+2           3.1398636332E+4           -1.0991890914E+1          -6.6580080466E+1         
06/30/16                  09:37:11.0                1.8135915583E+2           3.5285714290E+1           7.8463737696E+2           3.1421590552E+4           -1.1259665780E+1          -6.6094596986E+1         
06/30/16                  09:37:18.0                1.8135923631E+2           3.5312500000E+1           7.8475500295E+2           3.1462444148E+4           -1.1153202337E+1          -6.6827252911E+1         
06/30/16                  09:37:24.9                1.8135931608E+2           3.5291666670E+1           7.8510686599E+2           3.1463817021E+4           -1.1147704552E+1          -6.6817327560E+1         
06/30/16                  09:37:31.9                1.8135939805E+2           3.5260416670E+1           7.8478197299E+2           3.1488070128E+4           -1.1088386570E+1          -6.6479421957E+1         
06/30/16                  09:37:39.5                1.8135948559E+2           3.5267857140E+1           7.8484588349E+2           3.1510954893E+4           -1.1157246596E+1          -6.6577357143E+1         
06/30/16                  09:37:48.6                1.8135959094E+2           3.5250000000E+1           7.8471107301E+2           3.1536477625E+4           -1.0843640644E+1          -6.5903978250E+1         
06/30/16                  09:37:56.1                1.8135967745E+2           3.5250000000E+1           7.8473081440E+2           3.1549621161E+4           -1.1167357643E+1          -6.6570912718E+1         
06/30/16                  09:38:03.6                1.8135976451E+2           3.5250000000E+1           7.8516563747E+2           3.1554424607E+4           -1.1028214734E+1          -6.6731917400E+1         
06/30/16                  09:38:10.9                1.8135984857E+2           3.5250000000E+1           7.8456814431E+2           3.1578163955E+4           -1.1030812327E+1          -6.6000782851E+1         
06/30/16                  09:38:17.8                1.8135992829E+2           3.5250000000E+1           7.8483468611E+2           3.1582493904E+4           -1.1300385769E+1          -6.6286220156E+1         
06/30/16                  09:38:24.5                1.8136000625E+2           3.5250000000E+1           7.8449566685E+2           3.1617192270E+4           -1.1257896713E+1          -6.6124584085E+1         
06/30/16                  09:38:31.9                1.8136009198E+2           3.5250000000E+1           7.8503067672E+2           3.1615965648E+4           -1.1018021308E+1          -6.7010443669E+1         
06/30/16                  09:38:39.5                1.8136017942E+2           3.5250000000E+1           7.8466471650E+2           3.1635499302E+4           -1.1357789464E+1          -6.6333778154E+1         
06/30/16                  09:38:46.3                1.8136025884E+2           3.5239583330E+1           7.8545065932E+2           3.1633992718E+4           -1.0942820170E+1          -6.7891474287E+1         
06/30/16                  09:38:53.0                1.8136033642E+2           3.5250000000E+1           7.8500165589E+2           3.1659520538E+4           -1.0883606513E+1          -6.6260407019E+1         
06/30/16                  09:39:00.0                1.8136041773E+2           3.5285714290E+1           7.8483413447E+2           3.1657261265E+4           -1.0627007378E+1          -6.6160257388E+1         
06/30/16                  09:39:09.7                1.8136052915E+2           3.5328125000E+1           7.8493363502E+2           3.1676083427E+4           -1.0847984077E+1          -6.6394782943E+1         
06/30/16                  09:39:16.6                1.8136060983E+2           3.5364583330E+1           7.8507717457E+2           3.1702488650E+4           -1.0687162007E+1          -6.7169389019E+1         
06/30/16                  09:39:23.9                1.8136069396E+2           3.5359375000E+1           7.8506800916E+2           3.1713137962E+4           -1.1087546742E+1          -6.6328762898E+1         
06/30/16                  09:39:31.3                1.8136077983E+2           3.5367187500E+1           7.8503452420E+2           3.1743450548E+4           -1.1089325944E+1          -6.6471356822E+1         
06/30/16                  09:39:39.1                1.8136086960E+2           3.5343750000E+1           7.8512040514E+2           3.1769795352E+4           -1.1014166996E+1          -6.7097960958E+1         
06/30/16                  09:39:46.5                1.8136095568E+2           3.5343750000E+1           7.8527080589E+2           3.1793208995E+4           -1.1212562299E+1          -6.7018858397E+1         
06/30/16                  09:39:54.5                1.8136104769E+2           3.5375000000E+1           7.8495180728E+2           3.1819077590E+4           -1.0864071971E+1          -6.6434009842E+1         
06/30/16                  09:40:02.4                1.8136113901E+2           3.5375000000E+1           7.8516556881E+2           3.1862943649E+4           -1.0855157429E+1          -6.6670382209E+1         
06/30/16                  09:40:09.9                1.8136122674E+2           3.5375000000E+1           7.8466571258E+2           3.1898034162E+4           -1.1150396506E+1          -6.6343373004E+1         
06/30/16                  09:40:16.9                1.8136130753E+2           3.5375000000E+1           7.8524306089E+2           3.1932097677E+4           -1.1287252665E+1          -6.6754492320E+1         
06/30/16                  09:40:24.0                1.8136138963E+2           3.5375000000E+1           7.8474743141E+2           3.1969643781E+4           -1.1209190596E+1          -6.6312774424E+1         
