"","my_timestamp","my_date","time_category","soil_hydrogen_value","soil_hydrogen_sd","soil_oxygen_value","soil_oxygen_sd","my_time","time_decimal","delta_air_hydrogen","air_hydrogen_sd","delta_air_oxygen","air_oxygen_sd","RH_air","theta_soil","T_air","T_soil","alpha_equilibrium_hydrogen","epsilon_equilibrium_hydrogen","alpha_equilibrium_oxygen","epsilon_equilibrium_oxygen","RH_normal","n","epsilon_kinetic_hydrogen","epsilon_kinetic_oxygen","delta_E_hydrogen_value","delta_E_oxygen_value","delta_E_hydrogen_sd","delta_E_oxygen_sd","camp"
"1",2016-06-04 14:00:00,2016-06-04,"noon",-15.7276385313488,0.318389366179763,-2.38872122240672,0.111385696090178,"14:00",14,-89.31499046,0.46080695,-14.80098681,0.152967077,33.28166667,0.30695,303.46798,300.47167,1.07683851386663,76.838513866635,1.00918577568615,9.18577568615242,0.395919833971567,0.656824324324324,9.76229724249083,11.0435519173566,-107.26631259652,-27.2080259010371,0.34742818300065,0.125895928387894,"Campaign_1"
"2",2016-06-04 18:00:00,2016-06-04,"afternoon",-11.789432336451,1.22521089747935,-1.24221618630745,0.0321601529487583,"18:00",18,-91.84653238,0.644871983,-15.82492692,0.154714082,25.665,0.298875,301.78045,298.29984,1.07918211932404,79.1821193240414,1.00936136809955,9.36136809954791,0.314918690007682,0.667736486486487,11.2537388729182,12.7305112118202,-104.02475465449,-26.2807374345883,1.15333471584632,0.0582155263709342,"Campaign_1"
"3",2016-06-06 11:00:00,2016-06-06,"morning",-19.3927014421224,1.01968693402338,-2.38599508489426,0.0325207483663007,"11:00",11,-88.80192012,0.439984317,-14.91036572,0.171844066,38.61166667,0.2701875,300.79849,296.5164,1.08116021764865,81.1602176486514,1.00950853328792,9.508533287923,0.497939671859018,0.706503378378378,8.72190869064396,9.86581695022344,-124.516983196797,-27.9599102797807,0.968253155575037,0.091431114717995,"Campaign_1"
"4",2016-06-06 14:30:00,2016-06-06,"noon",-16.7836675478487,1.46586696818436,-0.836961525001083,0.0744453753881165,"14:30",14.5,-86.63797869,0.462861682,-14.28740821,0.16246895,29.29833333,0.2633875,302.91975,300.08398,1.07725171462046,77.2517146204557,1.00921683348972,9.21683348971647,0.345504015063262,0.715692567567568,11.5166330744255,13.0268835967447,-111.731603676638,-27.1701223741719,1.37011196910548,0.0926948601663083,"Campaign_1"
"5",2016-06-06 17:00:00,2016-06-06,"afternoon",-17.3089887313618,0.306565419193068,-2.06997843405928,0.0662297024200717,"17:00",17,-84.95450827,0.570321317,-14.40478355,0.223067906,29.31,0.25935,303.43925,298.92803,1.07849697425996,78.4969742599579,1.00931017458775,9.31017458775063,0.381249949988197,0.721148648648649,10.9699027212768,12.4083464384751,-116.126464692126,-28.958788259432,0.357879070865057,0.107417005438225,"Campaign_1"
"6",2016-06-08 10:30:00,2016-06-08,"morning",-18.2760733325974,0.92588881293455,-2.13015238827827,0.137946448347494,"10:30",10.5,-62.16941594,0.448734432,-11.69865926,0.232161793,52.16166667,0.24065,302.51926,297.26401,1.08032501769532,80.3250176953163,1.0094465110098,9.44651100979854,0.710673166000116,0.746418918918919,5.30760245986408,6.00332157079807,-198.102042055466,-31.3077665143696,0.914455147969531,0.214235421185876,"Campaign_1"
"7",2016-06-08 14:30:00,2016-06-08,"noon",-11.5082242052154,0.319418099907652,0.246202659672734,0.049992567795205,"14:30",14.5,-70.50305051,0.467607081,-12.13673424,0.184709846,35.37166667,0.2353375,305.28791,301.61195,1.07563594464197,75.6359446419734,1.00909513995035,9.09513995035183,0.436672450233754,0.753597972972973,10.432519303884,11.7998728918959,-114.997057578952,-26.6919141120886,0.360385544311458,0.094657657800067,"Campaign_1"
"8",2016-06-08 18:00:00,2016-06-08,"afternoon",-18.18851022824,0.551567679319958,-1.87502453676054,0.0511179542715379,"17:00",17,-70.89475433,0.524787398,-12.22251461,0.138447925,41.515,0.23045,303.8487,299.63508,1.07773292997593,77.732929975932,1.00925294965825,9.25294965824741,0.530180160941473,0.760202702702703,8.77634690048306,9.92652480805037,-137.483177115424,-30.3434791613055,0.582526379869139,0.0891810263232342,"Campaign_1"
"9",2016-06-10 11:00:00,2016-06-10,"morning",-18.2305417349396,0.322428923274594,-1.86012835233509,0.0455349298853781,"11:30",11.5,-67.47925353,0.400861852,-12.56270443,0.261581859,54.84666667,0.21515,303.00675,299.28209,1.07811343779148,78.1134377914821,1.00928146674226,9.28146674225738,0.681489479165317,0.780878378378378,6.11011224264978,6.91063551393417,-169.880815955117,-29.1123474109562,0.405056198288905,0.183885785141953,"Campaign_1"
"10",2016-06-10 14:30:00,2016-06-10,"noon",-19.7103003299336,0.0339994591093805,-2.28659222904169,0.13826329401998,"14:30",14.5,-67.7774195,0.400114306,-12.04340936,0.237683405,49.59,0.21175,304.58314,302.0464,1.07518271235859,75.1827123585898,1.00906088456935,9.06088456934651,0.573586471269581,0.785472972972973,8.22772109214603,9.30561552617588,-144.639446635844,-31.4987838451337,0.231668454700038,0.193290899481094,"Campaign_1"
"11",2016-06-10 19:00:00,2016-06-10,"afternoon",-22.0272919892869,0.694755083284451,-2.37446351490941,0.088453710692367,"18:00",18,-69.20808048,0.39513926,-12.20916482,0.207394518,56.10666667,0.20835,302.77127,299.96227,1.07738189098004,77.3818909800361,1.00922660918904,9.22660918904472,0.660723606350772,0.790067567567568,6.58431424549236,7.44685398333857,-169.675232962233,-31.6083083429306,0.695700789673642,0.162662223786638,"Campaign_1"
