"","timestamp","Rn","PPFD","Tair","Tsoil","RH","specific_humidity","Tdew","e","es","vpd","h2o_molar_density","h2o_mole_fraction","h2o_mixing_ratio","water_vapor_density","Ustar","wind_speed","max_wind_speed","h2o_flux","rand_err_h2o_flux","air_pressure","air_density","air_heat_capacity","air_molar_volume","SWC","ET","ET_sd","P","soil_moisture_5cm","soil_moisture_20cm","soil_moisture_45cm","soil_moisture_80cm"
"1848",2016-06-08 11:30:00,667.3129,1800.85,30.55003,25.92263,42.67833333,0.0119784401430691,289.54811324318,1863.53472781513,4366.4655632304,2502.93083541527,737.846728757484,19.1144893151841,19.4869728495012,0.0132959982800216,0.528337949194075,3.44701738637342,8.69853504073841,7.39947284910263,0.468420243104686,97467.16,1.10999413289341,1016.33517580878,0.0259057722562143,0.2527055,0.28130428796472,0.0151730496930279,0,0.23895,0.27975,0.34775,0.37155
"1849",2016-06-08 12:00:00,683.551,1921.65,30.98761,26.71955,40.24666667,0.0115803663484692,289.019899874803,1801.77821316998,4476.83836264889,2675.0601494789,712.368492865493,18.4837063195934,18.8317875501433,0.0128368804613814,0.474998574483108,3.28265266788634,8.87163050790078,8.34513858981594,0.443076481917085,97453.13,1.1085038309758,1015.99405925145,0.0259468330010539,0.250061,0.228946391524932,0.00966128358482874,0,0.23895,0.27975,0.34775,0.37155
"1850",2016-06-08 12:30:00,699.6771,1993.1,31.19942,27.4261,38.80333333,0.0113013240663451,288.637773284869,1758.2291523708,4531.12916206985,2772.90000969905,694.666728734465,18.0413585115933,18.3728293120849,0.0125178946662748,0.525941559278141,3.78644099808055,8.77120307940603,9.26471480982451,0.462619335019385,97429.34,1.10764850143114,1015.75255062295,0.0259712431376421,0.2476429,0.228986381838857,0.00966297113168588,0,0.23895,0.279325,0.34775,0.37155
"1851",2016-06-08 13:00:00,696.6503,2036.15,31.56541,27.93708,37.15,0.0110481687904553,288.283343889891,1718.6658883604,4626.28772102395,2907.62183266355,678.219918011701,17.6399187680958,17.9566730215411,0.0122215231319726,0.481446555918275,3.3869628935702,9.63354989744389,9.8730175767188,0.615068658879716,97404.36,1.10620351333978,1015.53895587437,0.0260091429042807,0.2458149,0.229055358941448,0.00966588188884855,0,0.23895,0.2791125,0.34775,0.37155
"1852",2016-06-08 13:30:00,681.524,2054.4,31.75868,28.23195,35.47,0.0106645129653374,287.73516744903,1659.01531621005,4677.23517397815,3018.2198577681,654.265632639819,17.0313044598835,17.3263955781677,0.0117898669021754,0.616295144524298,3.94802559860256,10.985838234773,8.8290250052432,0.483945756596391,97383.64,1.10552323772269,1015.20486105333,0.0260311769566223,0.2446194,0.223676420450547,0.00331134015719367,0,0.2374625,0.2789,0.3475375,0.37155
"1853",2016-06-08 14:00:00,659.3715,2040.7,32.00486,28.40452,34.69666667,0.010580125999241,287.609554989596,1645.60568477276,4742.83509832259,3097.22941354983,648.45372362464,16.8973989422513,17.1878285380091,0.0116851362999274,0.562917535779656,4.05512262988418,9.51736075303701,9.37790568507718,0.526273345390628,97361.99,1.10444207382462,1015.13769188296,0.0260579873731011,0.2435179,0.202245431064041,0.0322427047291773,0,0.23555,0.278475,0.3471125,0.37155
"1854",2016-06-08 14:30:00,619.1191,1973.9,32.13791,28.46195,35.37166667,0.0108706536484749,288.02458309664,1690.27771575656,4778.62050303144,3088.34278727488,665.766533917662,17.3583517985045,17.6649868548469,0.0119971131467531,0.534217812313025,3.80979503733083,9.00641440387249,10.8130551755142,0.575296965680435,97349.36,1.10362389739427,1015.39905121237,0.0260727310764036,0.2424581,0.203668693028363,0.00259319859320997,0,0.2353375,0.27805,0.3462625,0.37155
"1855",2016-06-08 15:00:00,583.4761,1912.55,32.35182,28.40218,35.99333333,0.0111996567077617,288.48313190643,1740.86996959875,4836.64559110937,3095.77562151063,685.213691805671,17.8801547372789,18.205675023801,0.0123475509378993,0.485630213758491,3.45209287492756,8.64346040946084,8.0100288353795,0.524365276839077,97337.14,1.10249369780612,1015.69716768815,0.0260942753349852,0.2416586,0.227163030647707,0.0188121518943205,0,0.23385,0.27805,0.34605,0.37155
"1856",2016-06-08 15:30:00,520.7897,1800.85,32.23256,28.24257,36.65,0.0113286705511855,288.66008910083,1760.74671407612,4804.22022940278,3043.47351532666,693.307910915144,18.084715723996,18.4177963349766,0.0124934087687511,0.533462694794059,3.58838556535293,8.49515586698117,7.53927003950896,0.430625729491161,97334.93,1.10281331885353,1015.80789058341,0.0260846810475951,0.2410855,0.288882196669056,0.013945194209077,0,0.233,0.27805,0.3454125,0.37155
"1857",2016-06-08 16:00:00,455.6288,1680,32.27615,27.97334,35.76666667,0.0110827901348852,288.318369653373,1722.54050661371,4816.04987824747,3093.50937163376,678.167114387792,17.6948266393536,18.0135737031867,0.0122205716106535,0.419559650599927,3.72326423228767,9.2302138969184,7.09692320395853,0.413026296741309,97321.02,1.1026620067619,1015.5912291329,0.0260921331393773,0.2407795,0.153340291040433,0.0352601116232255,0,0.23215,0.2778375,0.3452,0.37155
"1858",2016-06-08 16:30:00,373.9335,1534.45,31.83124,27.65037,35.98166667,0.0108722273707699,288.020881584812,1689.87463700257,4696.48794343235,3006.61330642978,666.27706268225,17.360848235065,17.6675722760313,0.0120063128752486,0.409786863992041,4.17210423615581,9.3730216490722,6.04058011213842,0.282430662141046,97312.15,1.10431031892578,1015.39097348968,0.0260564999268848,0.2404892,0.233801523087648,0.00914669185704979,0,0.23215,0.276775,0.344775,0.37155
"1859",2016-06-08 17:00:00,290.5344,1356.8,31.68464,27.24041,37.01833333,0.0110958035343096,288.333243924779,1724.1882475686,4657.66038735002,2933.47213978142,680.133026773808,17.7154647030488,18.0349624436399,0.0122559973524565,0.430393477050179,3.81399532960753,8.6997890574178,3.98069731455912,0.295203745409282,97300.63,1.10456149611512,1015.58464705631,0.0260470584513173,0.2404821,0.178426070903031,0.00956057555148997,0,0.23215,0.27635,0.344775,0.3713375
"1860",2016-06-08 17:30:00,224.3421,1106.85,31.40284,26.82853,38.355,0.0113183232892036,288.636797476698,1758.11913863438,4583.80690557784,2825.68776694346,694.15930314326,18.0683105503654,18.4007815864386,0.0125087508569647,0.440941860609118,3.57135883967763,8.70916963517634,4.32203934183611,0.238495076638986,97277.92,1.10517702466553,1015.77347842974,0.0260290548128496,0.2406481,0.161302679805875,0.00772432578948972,0,0.2310875,0.27635,0.3445625,0.3709125
"1861",2016-06-08 18:00:00,121.8127,969.5,30.6987,26.48508,41.515,0.0117727745003335,289.247761257766,1828.19481892347,4403.6970225785,2575.50220365504,723.500093859117,18.7886318269401,19.1484041424459,0.0130374719147234,0.353349136529552,3.41850390828555,8.22820821416088,3.47301542018911,0.24178561073444,97277.15,1.10742560424937,1016.15626284868,0.0259690800131377,0.2407266,0.121249777441274,0.00783173630475448,0,0.23045,0.27635,0.3445625,0.3707
"1862",2016-06-08 18:30:00,41.75245,708.65,29.8505,26.18201,43.54,0.0117606009973581,289.232993580488,1826.4725126154,4194.92997844604,2368.45746583063,724.841910029162,18.7693415432934,19.1283684233982,0.0130616514425219,0.351872214526049,3.17175964566838,7.18216394734834,2.64029334213054,0.159456159874247,97285.39,1.11062788759317,1016.12104389576,0.0258943933616343,0.2408227,0.0814184585384412,0.0181449763566168,0,0.23045,0.27635,0.345625,0.3709125
"1863",2016-06-08 19:00:00,8.516881,432.1,29.28688,25.75289,46.70333333,0.0122138297077203,289.824877434164,1896.62877060976,4061.01371225136,2164.3849416416,754.086360614036,19.4873422671025,19.8746463020277,0.0135886364510906,0.231489995399406,2.37380119672337,5.57784821171178,1.51868957704657,0.12886016901763,97300.09,1.11256147959074,1016.50875753635,0.0258423216290961,0.241421,0.0562353903486441,0.00417479385849474,0,0.23045,0.27635,0.34605,0.3707
